CompName,closedate,OppStage,OppName,Desc,amount,prob
Skipstorm,3/13/23,Commit,Robust leading edge knowledge user,envisioneer compelling architectures,4086382,40
Gigashots,1/28/22,Commit,Diverse intermediate frame,strategize 24/7 solutions,3445436,60
Blogtags,10/9/22,Won,Centralized multimedia frame,matrix innovative schemas,2585144,100
Skyndu,2/7/22,Won,Persevering heuristic focus group,aggregate innovative architectures,8916580,40
Bluejam,10/20/22,Open,Focused fault-tolerant firmware,architect vertical infrastructures,4933859,60
Zazio,1/21/23,Commit,De-engineered bottom-line internet solution,integrate e-business bandwidth,7764612,20
Jaxbean,2/22/22,Discovery,Self-enabling optimal projection,reinvent customized vortals,2585555,80
Muxo,10/27/22,Lost,Vision-oriented 24/7 synergy,integrate user-centric functionalities,9657469,100
Divanoodle,6/26/22,Open,Configurable real-time superstructure,productize bricks-and-clicks initiatives,8679246,20
Mita,9/20/22,Commit,Quality-focused context-sensitive algorithm,transform innovative architectures,5211403,60
Gabcube,2/5/23,Lost,Reverse-engineered intangible framework,grow cutting-edge supply-chains,4527054,40
Demivee,10/14/22,Open,Customizable human-resource budgetary management,cultivate virtual infrastructures,1119159,20
Gigashots,3/2/23,Open,Front-line tertiary flexibility,deliver bleeding-edge supply-chains,1336940,40
Browseblab,12/6/22,Won,Distributed foreground process improvement,engage robust mindshare,8895831,60
Skalith,3/10/23,Won,Intuitive zero administration utilisation,scale global mindshare,2180989,80
Fivespan,7/16/22,Upside,Open-architected 5th generation contingency,productize interactive synergies,3574497,60
Skinix,11/25/22,Discovery,Multi-channelled local migration,enhance world-class ROI,4000000,60
Realcube,9/17/22,Open,Advanced zero administration emulation,engage compelling markets,854394,100
Centimia,10/6/22,Discovery,Universal scalable portal,reinvent plug-and-play systems,841412,40
Kamba,3/14/22,Upside,Seamless zero tolerance product,enable extensible functionalities,8368190,80
Aivee,1/22/22,Won,Pre-emptive dedicated system engine,seize magnetic ROI,5085818,100
Omba,3/7/22,Won,User-friendly executive service-desk,deliver collaborative experiences,4467196,60
Babblestorm,6/10/22,Upside,De-engineered mobile portal,grow integrated functionalities,6412844,60
Gigashots,8/22/22,Lost,Sharable bi-directional data-warehouse,redefine scalable methodologies,2291561,60
Mycat,3/3/22,Won,Digitized heuristic workforce,update by umesh,5526543,60
Tagopia,3/15/23,Won,Multi-lateral bi-directional portal,exploit efficient e-markets,4003867,80
Dabshots,8/3/22,Won,Face to face next generation complexity,target sexy supply-chains,4513519,40
Skyndu,9/7/22,Commit,Fundamental incremental strategy,embrace virtual infrastructures,1846947,100
Jabberbean,2/9/23,Discovery,Ameliorated optimal workforce,enable intuitive paradigms,1260402,80
Lazzy,1/31/22,Open,Organized real-time pricing structure,extend granular interfaces,2665700,20
Edgetag,12/4/22,Upside,Quality-focused client-driven array,disintermediate interactive initiatives,7705065,80
Photospace,7/10/22,Lost,Organized well-modulated neural-net,e-enable sticky vortals,7473877,100
Skyvu,3/6/23,Discovery,Pre-emptive real-time secured line,exploit distributed web-readiness,2355468,60
Npath,8/4/22,Lost,Enterprise-wide 5th generation hardware,cultivate revolutionary communities,8053973,80
Fiveclub,2/3/22,Won,Networked transitional firmware,architect world-class relationships,8589343,20
Gabtune,6/22/22,Won,Vision-oriented bandwidth-monitored capacity,strategize cross-platform models,7685120,60
Riffpath,11/12/22,Discovery,Ergonomic non-volatile concept,reinvent global action-items,3666291,80
Voolith,5/18/22,Upside,Front-line dedicated paradigm,target turn-key models,7208380,40
Dazzlesphere,12/4/22,Upside,Visionary 4th generation process improvement,syndicate robust models,2055783,100
Twitterwire,1/13/22,Open,Polarised fault-tolerant Graphical User Interface,morph collaborative e-services,8454684,100
Eazzy,5/27/22,Commit,Mandatory homogeneous hardware,productize dot-com schemas,6273307,60
Eayo,3/15/22,Won,Horizontal value-added functionalities,generate interactive interfaces,5275266,100
Youspan,8/25/22,Lost,Persistent demand-driven implementation,extend sticky metrics,9537481,100
Tagfeed,9/18/22,Upside,Synergistic holistic system engine,morph B2B mindshare,5988945,40
Realcube,1/22/23,Lost,Synergized impactful installation,incubate front-end experiences,5252272,60
Skinder,2/15/23,Upside,Horizontal dedicated capability,engineer collaborative partnerships,9607094,100
Kare,1/24/23,Discovery,Progressive cohesive capacity,optimize holistic metrics,4151787,60
Plambee,1/23/23,Won,Realigned multi-tasking service-desk,synthesize visionary portals,6636384,80
Meevee,9/28/22,Open,Centralized dedicated circuit,synthesize bricks-and-clicks users,1273413,100
Flashdog,12/4/22,Won,Realigned radical instruction set,evolve holistic systems,4531893,40
Photobean,5/12/22,Discovery,Grass-roots coherent support,disintermediate revolutionary vortals,685617,60
Twimbo,1/19/22,Upside,Inverse asymmetric Graphic Interface,reinvent robust supply-chains,1738178,80
Meevee,11/22/22,Upside,Configurable eco-centric analyzer,iterate magnetic infrastructures,2093469,60
Meeveo,3/20/22,Discovery,Adaptive dedicated implementation,productize B2B e-business,2498894,20
BlogXS,3/17/22,Commit,Focused responsive support,deploy magnetic e-tailers,1441568,100
Lazzy,4/28/22,Commit,Polarised systemic groupware,repurpose back-end deliverables,2220271,40
Voonyx,3/22/22,Discovery,Open-architected content-based analyzer,incentivize extensible markets,105418,40
Twiyo,3/21/22,Lost,Cloned asymmetric superstructure,drive world-class solutions,1234788,80
Dynazzy,2/2/22,Commit,Ameliorated homogeneous solution,revolutionize strategic channels,3851981,80
Trilia,1/2/22,Commit,Multi-layered bottom-line software,aggregate enterprise ROI,4467412,20
Realcube,9/10/22,Discovery,Monitored bandwidth-monitored function,scale granular platforms,6311923,20
Skipfire,5/27/22,Won,Persistent 5th generation conglomeration,reintermediate wireless web-readiness,4085230,100
Npath,11/20/22,Upside,Grass-roots grid-enabled system engine,productize next-generation channels,5802141,40
Meezzy,1/16/23,Open,Versatile client-server synergy,whiteboard vertical markets,3739409,80
Omba,3/2/22,Open,Decentralized tertiary functionalities,maximize seamless schemas,9798363,20
Browsecat,3/17/22,Upside,Adaptive didactic functionalities,orchestrate cross-media e-business,3860059,60
Leexo,3/25/22,Commit,Down-sized leading edge matrices,generate rich infrastructures,6321700,40
Realblab,11/2/22,Commit,Secured value-added system engine,productize bleeding-edge content,5244029,100
Buzzster,1/27/23,Won,Synergized zero defect framework,exploit viral schemas,1905070,40
Oyonder,11/20/22,Discovery,Devolved national strategy,generate integrated users,6761530,20
Centimia,9/17/22,Commit,Object-based maximized internet solution,embrace next-generation infrastructures,1099385,20
Gigazoom,3/13/23,Discovery,Total content-based system engine,engage holistic niches,7871856,20
Feedmix,3/9/22,Won,Networked coherent database,innovate strategic web-readiness,7588956,80
Gabspot,6/21/22,Discovery,Persevering mobile hardware,facilitate B2B systems,56674,60
Tavu,6/22/22,Won,Proactive bandwidth-monitored installation,engage intuitive web services,1020837,40
Divavu,2/3/23,Lost,Seamless systematic function,disintermediate cross-media infrastructures,1859079,60
Browsezoom,2/11/22,Open,Cross-group didactic flexibility,scale cross-media mindshare,7914872,40
Babbleblab,1/11/22,Open,Re-engineered object-oriented process improvement,monetize dynamic e-commerce,7661460,20
Rhynyx,7/10/22,Discovery,Fully-configurable clear-thinking intranet,envisioneer web-enabled infrastructures,2581942,20
Trudeo,2/4/22,Open,Fundamental secondary system engine,visualize plug-and-play content,882011,40
Feedbug,2/27/23,Commit,Centralized fresh-thinking toolset,enhance cross-media action-items,9587446,60
Dynava,3/4/23,Lost,Switchable global workforce,reintermediate global paradigms,7927456,100
Fivechat,1/28/22,Discovery,Future-proofed human-resource Graphical User Interface,repurpose wireless solutions,3216114,60
Thoughtsphere,1/13/22,Upside,Function-based analyzing forecast,productize synergistic users,4061298,20
Linkbuzz,4/30/22,Lost,Networked tangible project,cultivate leading-edge solutions,7263366,80
Browsecat,7/16/22,Lost,Phased grid-enabled data-warehouse,aggregate mission-critical niches,9341653,40
Rhynoodle,12/12/22,Open,Enhanced hybrid adapter,streamline scalable e-tailers,5188840,80
Tagpad,3/13/22,Discovery,Proactive explicit focus group,syndicate seamless systems,1150608,100
Trilith,11/17/22,Open,Programmable intermediate superstructure,brand strategic vortals,5141512,60
Tambee,7/11/22,Lost,Distributed value-added concept,leverage viral infrastructures,6350808,100
Quatz,11/25/22,Discovery,Decentralized zero tolerance process improvement,revolutionize world-class systems,4061159,40
Buzzbean,4/10/22,Upside,Focused client-server standardization,deploy bricks-and-clicks partnerships,3402887,20
Mymm,8/20/22,Discovery,Distributed intangible moratorium,visualize clicks-and-mortar content,2033020,40
Brainsphere,1/10/23,Won,Advanced 3rd generation encryption,empower clicks-and-mortar models,8674704,100
Browsecat,12/29/22,Won,Enterprise-wide upward-trending emulation,seize holistic solutions,5079866,60
Skaboo,8/16/22,Open,Adaptive upward-trending instruction set,streamline sexy deliverables,850614,40
Zoombeat,6/9/22,Lost,Business-focused encompassing adapter,implement visionary mindshare,4634131,80
Gabvine,3/5/22,Upside,Cross-platform real-time info-mediaries,reinvent 24/365 experiences,2935257,60
Jayo,5/14/22,Commit,Enterprise-wide clear-thinking portal,productize scalable deliverables,2879650,100
Avamba,11/15/22,Commit,Organic even-keeled adapter,engage sticky initiatives,3687831,40
Kimia,9/8/22,Lost,Integrated non-volatile encryption,reinvent holistic methodologies,9052916,60
Camimbo,3/31/22,Open,Self-enabling homogeneous migration,reintermediate virtual models,8767313,20
Thoughtmix,8/5/22,Discovery,Profit-focused national pricing structure,strategize frictionless paradigms,4399025,100
Jetwire,1/20/23,Discovery,Intuitive explicit firmware,embrace web-enabled networks,2297759,60
Camido,6/26/22,Open,Virtual logistical concept,monetize viral interfaces,6328089,20
Quaxo,2/23/23,Won,Phased disintermediate local area network,aggregate clicks-and-mortar e-tailers,7656673,20
Vipe,3/12/22,Commit,Synergistic explicit initiative,revolutionize real-time bandwidth,9571920,100
Brainsphere,4/29/22,Commit,Front-line context-sensitive standardization,implement B2B initiatives,4536130,100
Mymm,8/11/22,Upside,Realigned fault-tolerant database,cultivate real-time web services,8042199,80
Tagchat,2/16/22,Commit,Reactive optimal neural-net,evolve end-to-end communities,5535574,60
Linkbridge,2/23/22,Won,Profit-focused attitude-oriented benchmark,monetize strategic channels,1189248,80
Twitternation,12/22/22,Commit,Innovative well-modulated moderator,brand bleeding-edge action-items,568365,60
Skippad,11/23/22,Commit,Stand-alone hybrid complexity,deliver extensible synergies,1978812,100
Oyonder,2/16/23,Lost,Decentralized zero defect complexity,enable bleeding-edge mindshare,9818148,40
Topicstorm,11/21/22,Won,Cross-group mobile function,redefine cutting-edge eyeballs,6191132,20
Trunyx,1/4/22,Discovery,Persevering interactive hub,maximize holistic niches,2814925,40
Kimia,11/2/22,Won,Decentralized secondary secured line,monetize strategic networks,5687177,80
Gabspot,11/4/22,Won,Mandatory transitional open architecture,monetize user-centric synergies,6598692,100
Miboo,1/3/23,Commit,Triple-buffered maximized internet solution,disintermediate clicks-and-mortar markets,2503855,20
Meemm,12/16/22,Discovery,Devolved actuating orchestration,redefine 24/7 e-business,5857353,20
Thoughtstorm,1/15/22,Open,Face to face high-level groupware,engineer B2B schemas,1522827,80
Trunyx,1/17/22,Open,Total dynamic architecture,matrix collaborative vortals,6910479,40
Skipfire,1/22/23,Won,Fully-configurable asynchronous array,recontextualize wireless ROI,2169666,80
Eidel,2/1/22,Discovery,Team-oriented intangible firmware,scale robust mindshare,2109176,100
Photobug,3/19/22,Lost,Diverse actuating info-mediaries,target scalable action-items,8285566,20
Skajo,6/18/22,Lost,Cross-group needs-based conglomeration,expedite e-business e-markets,9352297,20
Chatterpoint,10/21/22,Lost,Total asymmetric website,enable web-enabled synergies,8729462,100
Wordware,11/28/22,Upside,Inverse optimizing access,streamline collaborative architectures,3014889,80
Devcast,1/5/22,Open,User-centric mobile local area network,drive 24/7 markets,4227014,100
Aibox,6/19/22,Open,Ergonomic maximized access,recontextualize clicks-and-mortar users,9145790,100
Twimm,8/19/22,Won,Polarised user-facing productivity,reinvent proactive supply-chains,8604464,60
Twitterwire,2/24/23,Lost,Business-focused full-range orchestration,generate synergistic paradigms,6913014,100
Aivee,11/18/22,Won,Profound radical matrix,evolve B2C experiences,1164227,20
Youopia,10/15/22,Open,Digitized leading edge challenge,orchestrate user-centric ROI,4893975,40
Babbleset,4/19/22,Upside,Virtual user-facing protocol,e-enable interactive networks,3274941,100
Fadeo,8/4/22,Commit,Distributed full-range firmware,orchestrate proactive web-readiness,2428476,60
Wikibox,12/15/22,Won,Progressive hybrid collaboration,aggregate best-of-breed e-services,6550759,20
Skinix,8/1/22,Lost,Compatible radical Graphic Interface,incentivize frictionless paradigms,1681356,80
Fiveclub,10/26/22,Discovery,Multi-layered cohesive definition,evolve wireless infrastructures,3180364,100
Wikizz,6/15/22,Commit,Multi-channelled fresh-thinking projection,benchmark extensible schemas,1032055,100
Eire,2/6/23,Won,Total global monitoring,unleash customized eyeballs,2985526,20
Feedspan,1/20/22,Won,Inverse homogeneous implementation,unleash intuitive infrastructures,4682829,40
Voolia,12/28/22,Lost,Mandatory grid-enabled throughput,scale customized networks,7611655,100
Chatterpoint,4/14/22,Commit,Sharable exuding utilisation,disintermediate distributed infrastructures,5409587,20
Kwideo,9/16/22,Commit,Enterprise-wide stable knowledge user,implement interactive markets,9216233,100
Nlounge,2/9/23,Open,De-engineered needs-based secured line,target granular e-markets,8581213,60
Browsetype,11/28/22,Commit,Stand-alone interactive product,orchestrate real-time convergence,2230364,60
Skilith,2/20/22,Lost,Universal next generation task-force,reinvent efficient convergence,7793461,100
Talane,2/20/22,Discovery,Robust fault-tolerant matrices,reintermediate intuitive technologies,6511963,100
Photolist,11/22/22,Discovery,Mandatory tertiary orchestration,deploy compelling channels,9396182,40
Kwimbee,12/30/22,Open,Up-sized modular function,maximize rich solutions,767914,80
Eamia,2/17/23,Open,Pre-emptive disintermediate array,unleash customized initiatives,7720453,20
Skaboo,2/21/23,Won,Innovative exuding matrices,architect synergistic infrastructures,5688102,100
Rooxo,2/18/22,Discovery,Pre-emptive stable open architecture,leverage integrated solutions,862652,40
Voolith,5/20/22,Upside,Upgradable mobile alliance,transition out-of-the-box experiences,8665084,80
Jazzy,8/22/22,Lost,Optional heuristic firmware,streamline impactful e-markets,6301096,20
Flipopia,3/17/22,Open,Centralized clear-thinking application,target value-added synergies,8562134,80
Ntag,1/17/22,Won,Optimized bifurcated conglomeration,aggregate value-added convergence,4201140,40
Chatterpoint,4/11/22,Upside,Profound impactful strategy,reintermediate ubiquitous portals,2068961,100
Brainsphere,4/2/22,Open,Grass-roots analyzing product,visualize clicks-and-mortar methodologies,4647813,60
Twitterbridge,6/18/22,Open,Visionary high-level infrastructure,exploit ubiquitous users,946800,60
Mudo,7/19/22,Commit,Team-oriented bifurcated contingency,reintermediate cross-platform systems,2522939,20
Yombu,8/29/22,Won,Total maximized open system,harness customized convergence,627347,60
Realpoint,7/23/22,Won,Profound fault-tolerant support,brand bleeding-edge schemas,6714699,60
Vinte,1/7/23,Discovery,Reactive object-oriented product,unleash viral platforms,6362590,40
Skippad,5/24/22,Open,Inverse bandwidth-monitored portal,recontextualize killer mindshare,6617199,80
Babbleset,8/31/22,Open,Synchronised non-volatile workforce,envisioneer B2B content,3435256,60
Yozio,2/16/22,Commit,User-friendly composite solution,unleash global methodologies,2045093,60
Youspan,6/27/22,Upside,Future-proofed background pricing structure,redefine dynamic web services,3621204,80
Babbleblab,7/19/22,Commit,Multi-layered multi-state capacity,monetize synergistic vortals,6598659,100
Npath,4/30/22,Open,Managed coherent solution,mesh out-of-the-box e-commerce,6996018,100
Tazz,4/9/22,Lost,Devolved upward-trending hierarchy,scale web-enabled metrics,9689253,60
Yotz,12/14/22,Upside,Triple-buffered multi-state moratorium,benchmark innovative mindshare,2345752,40
Digitube,3/14/23,Discovery,Cloned hybrid database,optimize killer eyeballs,4191561,80
Latz,8/15/22,Discovery,Optional maximized emulation,embrace mission-critical functionalities,8382925,40
Wikizz,1/25/22,Lost,Universal modular knowledge user,iterate world-class relationships,9772475,40
Eidel,7/9/22,Discovery,Enhanced bifurcated service-desk,incentivize best-of-breed functionalities,8553077,80
Quamba,5/19/22,Lost,Optional well-modulated emulation,synthesize collaborative convergence,6472382,40
Aibox,2/2/23,Lost,Front-line systematic neural-net,envisioneer holistic e-commerce,5386636,60
Vinder,11/13/22,Upside,Cloned bandwidth-monitored utilisation,innovate vertical portals,2296553,20
Zoomzone,8/31/22,Discovery,User-friendly user-facing installation,extend efficient systems,9429026,80
Roombo,12/21/22,Commit,Versatile human-resource knowledge base,maximize cross-media systems,6414325,60
Fivespan,1/12/22,Upside,Advanced analyzing emulation,optimize plug-and-play e-tailers,2284834,40
Eidel,10/12/22,Commit,Compatible leading edge workforce,reintermediate best-of-breed deliverables,5254046,80
Topicstorm,10/4/22,Discovery,Distributed scalable challenge,envisioneer innovative channels,1277974,80
Yodo,11/21/22,Commit,Compatible intermediate software,whiteboard B2B models,9518690,100
Reallinks,4/30/22,Lost,Programmable encompassing alliance,empower clicks-and-mortar action-items,4740599,40
Tavu,12/23/22,Open,Function-based interactive interface,integrate synergistic platforms,536029,20
Skyvu,1/7/22,Lost,Universal maximized methodology,transform cross-media web services,3935269,80
Yakidoo,1/10/23,Lost,Networked bi-directional Graphical User Interface,matrix world-class web services,1133376,60
Realblab,3/1/22,Discovery,Ameliorated content-based alliance,unleash user-centric web-readiness,707567,80
Jabbercube,3/14/22,Lost,Ameliorated full-range model,cultivate B2B content,8934123,60
Livetube,1/12/22,Discovery,Sharable zero administration interface,optimize visionary architectures,4292078,80
Omba,2/5/23,Lost,Reverse-engineered user-facing interface,extend open-source e-commerce,4915237,40
Flashdog,2/18/23,Upside,Polarised heuristic analyzer,unleash cutting-edge e-services,3627037,60
Oodoo,11/23/22,Upside,Streamlined intermediate process improvement,target web-enabled users,4757542,60
Dynava,4/23/22,Commit,Streamlined 5th generation complexity,revolutionize e-business initiatives,3294367,80
Gevee,1/15/23,Won,Visionary transitional contingency,transition intuitive metrics,6809670,100
Minyx,10/7/22,Lost,Sharable fault-tolerant architecture,syndicate global e-markets,3383177,80
Feedfire,1/12/23,Commit,Up-sized client-server parallelism,syndicate B2B niches,9698513,20
Browsebug,2/8/22,Commit,Decentralized homogeneous collaboration,incentivize seamless architectures,6471150,60
Eamia,1/14/22,Discovery,Diverse asynchronous local area network,leverage killer mindshare,6058351,20
Yacero,3/15/23,Lost,Horizontal exuding flexibility,mesh interactive e-markets,7912965,80
Topicshots,3/8/22,Upside,Expanded contextually-based emulation,cultivate extensible experiences,7828240,60
Feednation,1/23/22,Lost,Multi-layered global hardware,unleash e-business initiatives,605893,100
Shufflester,2/20/23,Open,Business-focused didactic support,orchestrate cutting-edge e-markets,6327448,40
Voomm,3/28/22,Commit,Front-line actuating neural-net,reintermediate out-of-the-box portals,2867280,40
Brainverse,6/10/22,Won,Polarised homogeneous projection,reinvent revolutionary channels,1852134,60
Minyx,11/19/22,Discovery,Quality-focused secondary knowledge user,evolve 24/365 e-commerce,2319746,40
Yambee,3/9/23,Upside,Multi-lateral next generation standardization,harness ubiquitous portals,9076662,100
Babbleset,10/9/22,Open,Profit-focused next generation knowledge user,repurpose global portals,8535968,40
Yombu,7/8/22,Open,Fully-configurable background matrix,implement holistic paradigms,8797504,100
Gevee,8/10/22,Lost,Open-architected composite strategy,embrace interactive portals,3786237,40
Lajo,2/28/22,Upside,Synergistic analyzing product,envisioneer world-class metrics,4445053,80
Dynava,7/2/22,Open,Multi-lateral demand-driven concept,deliver vertical infomediaries,9515962,60
Oyonder,1/31/23,Commit,Operative zero defect superstructure,generate bleeding-edge e-services,1949617,80
Zoomlounge,10/27/22,Discovery,Business-focused interactive flexibility,transition 24/365 interfaces,4413669,100
Talane,2/23/22,Open,Configurable homogeneous local area network,innovate proactive networks,5055835,80
Realcube,5/21/22,Upside,Business-focused zero defect protocol,streamline turn-key convergence,9996812,60
Dabvine,3/19/22,Open,Organized foreground installation,synergize sticky e-business,6682037,80
Thoughtmix,8/8/22,Lost,Compatible 4th generation secured line,synergize dot-com ROI,1423358,80
Photolist,4/2/22,Discovery,Quality-focused dedicated benchmark,grow front-end e-business,9124456,100
Buzzbean,5/12/22,Lost,Fully-configurable dynamic customer loyalty,reinvent compelling applications,7239251,40
Vipe,6/9/22,Commit,Versatile motivating approach,evolve scalable methodologies,449512,20
Yakijo,12/27/22,Open,Sharable content-based projection,unleash revolutionary experiences,6743402,100
Babblestorm,1/18/23,Discovery,Distributed motivating toolset,disintermediate dot-com web services,790491,100
Twimm,9/15/22,Commit,Multi-layered optimal interface,streamline world-class solutions,4911160,100
Twinte,2/2/22,Lost,Synchronised human-resource encryption,transition turn-key metrics,3934519,20
Voolith,10/21/22,Won,Front-line full-range policy,repurpose cross-platform niches,3072327,20
Chatterbridge,2/4/23,Lost,Balanced attitude-oriented benchmark,leverage B2C convergence,1412786,80
Nlounge,1/9/23,Open,Centralized context-sensitive service-desk,target vertical e-business,2527728,100
Rhyloo,2/2/23,Upside,Adaptive bandwidth-monitored knowledge user,productize efficient markets,2162658,40
Quatz,8/12/22,Upside,Networked attitude-oriented structure,leverage ubiquitous experiences,7772704,100
Zooveo,3/23/22,Commit,Secured optimizing initiative,incubate scalable e-markets,1404671,20
Cogibox,7/11/22,Commit,Fully-configurable incremental info-mediaries,syndicate mission-critical mindshare,9365987,40
Rhyloo,6/8/22,Lost,Cross-platform explicit project,productize cross-media channels,9337451,20
Dablist,11/21/22,Upside,Face to face dynamic hub,morph killer platforms,7643941,40
Tavu,1/30/22,Upside,Reactive neutral customer loyalty,strategize magnetic e-business,5082513,80
Innojam,2/18/23,Won,Business-focused fault-tolerant hierarchy,visualize bricks-and-clicks technologies,1674063,80
Shuffledrive,3/12/22,Won,User-centric heuristic interface,transition frictionless methodologies,5116020,100
Devshare,1/31/23,Upside,Multi-lateral homogeneous parallelism,generate B2B partnerships,5200358,60
Zoozzy,2/2/22,Won,Devolved logistical strategy,iterate viral metrics,1513699,60
Ainyx,8/16/22,Discovery,Optimized transitional functionalities,expedite distributed vortals,5660738,40
Vimbo,2/19/23,Won,Right-sized hybrid database,facilitate 24/365 bandwidth,2002980,40
Zava,10/1/22,Discovery,Reduced zero tolerance encoding,morph leading-edge methodologies,3134650,40
Shufflebeat,11/18/22,Discovery,Innovative 3rd generation capacity,deploy customized synergies,4903470,20
Edgetag,8/23/22,Discovery,Organized modular utilisation,visualize synergistic markets,3531429,60
Zoomzone,7/16/22,Discovery,Distributed system-worthy methodology,transform mission-critical systems,6215422,60
Browsecat,11/9/22,Discovery,Balanced fresh-thinking software,streamline clicks-and-mortar mindshare,9484384,60
Dabvine,9/6/22,Lost,Operative zero defect software,brand integrated technologies,4460875,100
Thoughtstorm,11/23/22,Won,Integrated local challenge,redefine dynamic deliverables,2922901,40
Youspan,2/8/22,Open,Programmable fresh-thinking knowledge base,deploy efficient solutions,2961425,100
Realblab,3/10/22,Upside,Right-sized responsive flexibility,monetize bricks-and-clicks e-markets,2869180,40
Ntags,3/29/22,Won,Implemented bi-directional system engine,engage rich e-business,9234368,20
Gevee,3/9/23,Commit,Face to face asynchronous data-warehouse,revolutionize frictionless markets,9431912,40
Oyonder,4/7/22,Won,Monitored 6th generation standardization,drive bricks-and-clicks e-services,9939927,20
Muxo,1/30/22,Discovery,Business-focused eco-centric superstructure,reintermediate viral systems,2675152,40
Topicshots,3/12/22,Commit,Switchable discrete implementation,deploy dot-com e-business,4299721,60
Devpulse,3/17/22,Lost,Re-engineered multi-tasking knowledge user,leverage one-to-one synergies,5600491,100
Jabbersphere,2/9/22,Lost,Enterprise-wide system-worthy circuit,enhance ubiquitous systems,6485015,40
Wikizz,8/25/22,Open,Profound homogeneous functionalities,leverage B2C technologies,4251825,60
Gabspot,11/11/22,Won,Proactive neutral throughput,expedite e-business web-readiness,5966018,60
Roomm,6/27/22,Upside,Persistent human-resource database,redefine user-centric niches,9097675,80
Shufflebeat,6/24/22,Upside,Public-key optimal product,deploy granular markets,4315819,20
Divape,10/2/22,Lost,Vision-oriented content-based leverage,streamline next-generation schemas,8172319,80
Zoomcast,1/13/22,Upside,Centralized solution-oriented concept,innovate visionary paradigms,5415944,60
Dynazzy,2/13/22,Open,Synergistic asymmetric conglomeration,envisioneer plug-and-play supply-chains,7130718,100
Jayo,1/22/22,Won,Exclusive encompassing approach,iterate out-of-the-box infrastructures,323124,80
Trilia,5/1/22,Won,Quality-focused client-driven application,enhance seamless functionalities,5124880,80
Oodoo,5/23/22,Lost,Decentralized upward-trending strategy,synergize bricks-and-clicks communities,619493,20
Trilith,4/7/22,Commit,Inverse bifurcated strategy,morph seamless applications,6820819,80
Oyonder,8/24/22,Upside,Open-architected heuristic knowledge user,grow compelling web-readiness,9776380,20
Zoomcast,5/19/22,Won,Proactive empowering functionalities,drive back-end e-tailers,3573124,60
Zazio,2/14/23,Won,Managed web-enabled synergy,facilitate global ROI,6156219,60
Demizz,1/2/23,Commit,Decentralized zero defect Graphic Interface,synergize impactful content,7644424,40
Oyoba,1/10/23,Open,Organized full-range paradigm,cultivate leading-edge relationships,4252540,80
InnoZ,4/23/22,Commit,Team-oriented directional frame,incentivize robust functionalities,7602944,60
Skibox,8/30/22,Won,Fundamental maximized hardware,repurpose collaborative markets,1187225,80
Voomm,3/3/23,Lost,Multi-tiered demand-driven project,cultivate vertical technologies,3875320,40
Tekfly,2/27/23,Discovery,Re-contextualized upward-trending data-warehouse,innovate revolutionary models,8666255,80
Jatri,2/2/22,Open,Intuitive system-worthy algorithm,integrate ubiquitous supply-chains,3998593,20
Meejo,2/24/23,Discovery,Triple-buffered demand-driven ability,deploy global initiatives,1148752,80
