oppid,CompName,closedate,OppStage,OppName,Desc,amount,prob
186,Aimbu,1/19/2023,Upside,Streamlined systematic Graphical User Interface,engage real-time action-items,8684672,60
187,Skajo,1/31/2022,Won,Adaptive eco-centric ability,incentivize granular networks,7956012,80
188,Realpoint,8/19/2022,Open,Open-source disintermediate hierarchy,implement synergistic systems,373841,60
189,Jabbercube,6/19/2022,Upside,Customizable hybrid analyzer,innovate open-source vortals,9398375,40
190,Rhybox,1/24/2023,Discovery,Customizable maximized protocol,redefine end-to-end deliverables,1924462,100
191,Skyndu,2/23/2023,Lost,Enterprise-wide regional support,facilitate e-business convergence,4819090,60
192,Ntag,8/5/2022,Open,Programmable systematic moderator,seize user-centric e-markets,2807603,60
193,Meembee,1/28/2022,Won,Re-contextualized intangible pricing structure,redefine back-end e-tailers,4885225,60
194,Izio,12/11/2022,Commit,Grass-roots zero administration hierarchy,brand leading-edge vortals,8635319,60
195,Meezzy,12/19/2022,Discovery,Diverse optimizing archive,benchmark proactive communities,3623987,100
196,Jayo,6/10/2022,Upside,Balanced incremental forecast,evolve rich solutions,2785341,80
197,Youbridge,12/11/2022,Commit,Persevering client-driven emulation,maximize vertical niches,5692498,80
198,Feednation,7/5/2022,Open,Operative transitional hierarchy,productize integrated infrastructures,8546151,60
199,Zoombox,12/9/2022,Lost,Versatile intangible portal,transition distributed architectures,4961650,40
200,Rhyzio,3/29/2022,Upside,Robust asymmetric moderator,seize frictionless platforms,7438839,80
201,Quire,10/3/2022,Discovery,Re-engineered methodical capacity,scale turn-key systems,9849291,40
202,Photobug,7/3/2022,Upside,Profit-focused responsive database,e-enable strategic interfaces,2969414,100
203,Roomm,4/17/2022,Lost,Robust disintermediate collaboration,engage integrated markets,659418,60
204,Eabox,8/3/2022,Lost,Customizable radical productivity,deliver mission-critical methodologies,3579748,100
205,Meevee,9/10/2022,Upside,Synergistic full-range benchmark,streamline killer technologies,977505,100
206,Meemm,10/11/2022,Upside,Innovative analyzing algorithm,evolve best-of-breed schemas,8289245,100
207,Jabbertype,2/15/2022,Lost,Automated demand-driven superstructure,incentivize B2C action-items,4364715,60
208,Voonder,5/18/2022,Won,Multi-channelled scalable installation,aggregate rich partnerships,2121065,60
209,Vinder,8/18/2022,Open,Cloned even-keeled matrices,e-enable extensible web-readiness,2366960,20
210,Twitterworks,1/4/2023,Upside,Optional bifurcated flexibility,empower virtual interfaces,901479,100
211,Skinte,8/30/2022,Lost,Monitored human-resource alliance,utilize scalable web-readiness,7110461,20
212,Flipstorm,6/7/2022,Upside,Implemented dynamic implementation,unleash intuitive e-services,8295231,40
213,Jazzy,8/1/2022,Won,Synergized client-driven initiative,deliver extensible eyeballs,985112,80
214,Plambee,12/25/2022,Commit,Centralized coherent encryption,redefine visionary action-items,334809,80
215,Centizu,3/5/2022,Open,Re-contextualized methodical database,deliver visionary applications,4272512,80
216,Blogtag,7/24/2022,Lost,Reduced transitional task-force,whiteboard compelling content,3436257,40
217,Blogtag,10/29/2022,Commit,Advanced actuating solution,redefine efficient eyeballs,1570802,20
218,Blogspan,1/18/2023,Open,Quality-focused 24/7 local area network,generate open-source portals,5988244,20
219,Youbridge,12/16/2022,Upside,Exclusive zero tolerance artificial intelligence,synthesize scalable markets,8183352,40
220,Kwideo,1/27/2022,Lost,Distributed clear-thinking system engine,optimize granular ROI,1523487,20
221,Topiclounge,5/20/2022,Upside,Versatile neutral hardware,implement end-to-end communities,2835688,20
222,Vimbo,2/8/2022,Upside,Front-line holistic focus group,seize efficient deliverables,9862821,100
223,Yabox,1/15/2023,Won,Networked context-sensitive initiative,orchestrate global infomediaries,6013284,80
224,Abatz,3/9/2022,Discovery,Optimized clear-thinking Graphical User Interface,engage clicks-and-mortar networks,6125110,20
225,Cogilith,1/1/2023,Won,Robust zero tolerance encoding,maximize front-end e-services,7415539,60
226,Livepath,9/5/2022,Commit,Expanded multi-tasking utilisation,repurpose end-to-end models,7552545,60
227,Rhybox,8/20/2022,Upside,Realigned dedicated infrastructure,mesh efficient interfaces,2882965,60
228,Dabjam,2/25/2023,Discovery,Multi-lateral heuristic hub,cultivate open-source action-items,5715626,40
229,Realmix,10/6/2022,Discovery,Triple-buffered leading edge emulation,disintermediate revolutionary web-readiness,4246335,40
230,Skimia,3/21/2022,Open,Reverse-engineered solution-oriented collaboration,monetize intuitive systems,9055210,40
231,Skivee,3/5/2022,Upside,Profit-focused leading edge attitude,engineer one-to-one bandwidth,3245637,20
232,Livefish,12/9/2022,Open,Customizable mission-critical groupware,orchestrate value-added content,7553313,60
233,Meezzy,1/13/2023,Won,Networked full-range functionalities,monetize value-added methodologies,4551840,20
234,Realblab,3/13/2023,Open,Customizable high-level benchmark,optimize plug-and-play web-readiness,6162890,40
235,Gevee,10/19/2022,Discovery,Operative motivating functionalities,unleash holistic paradigms,5688649,80
236,Skyvu,10/31/2022,Upside,Networked mission-critical orchestration,maximize vertical solutions,1676187,100
237,Youspan,1/6/2023,Lost,Team-oriented uniform array,incubate vertical infrastructures,8642941,40
238,Skipstorm,4/6/2022,Discovery,Public-key content-based support,embrace holistic users,8203965,60
239,Twiyo,6/24/2022,Commit,Optimized grid-enabled archive,optimize front-end technologies,7616599,80
240,Skajo,12/24/2022,Open,Realigned demand-driven flexibility,reintermediate collaborative infomediaries,7638055,100
241,Zoomzone,7/13/2022,Lost,Reactive next generation solution,maximize dot-com experiences,1024772,40
242,Livefish,10/20/2022,Commit,Versatile static implementation,incentivize virtual infrastructures,9827994,60
243,Devify,2/23/2023,Open,Centralized holistic standardization,transform robust experiences,7887049,100
244,Jabbercube,3/1/2023,Won,Multi-lateral disintermediate extranet,visualize customized e-business,4886797,20
245,Flashset,1/19/2023,Commit,Inverse reciprocal matrices,aggregate efficient web-readiness,3776764,60
246,Ozu,4/11/2022,Commit,Cross-platform client-driven knowledge user,drive integrated deliverables,4953018,20
247,Topicware,8/24/2022,Open,Reduced actuating software,redefine web-enabled e-business,8844221,40
248,Gigabox,5/19/2022,Won,Virtual demand-driven success,empower open-source communities,9502262,40
249,Jaxnation,11/22/2022,Discovery,User-centric national internet solution,architect plug-and-play relationships,4387548,40
250,Fliptune,1/10/2023,Upside,Synchronised methodical paradigm,revolutionize web-enabled networks,1485868,20
251,Ooba,4/27/2022,Lost,Vision-oriented motivating framework,generate distributed interfaces,7355549,80
252,Skaboo,2/3/2023,Commit,Object-based web-enabled orchestration,reinvent next-generation methodologies,3707841,100
253,Wikizz,2/11/2022,Won,Centralized zero tolerance complexity,engage collaborative content,5284253,40
254,Tazzy,10/1/2022,Open,Quality-focused 3rd generation infrastructure,enable visionary deliverables,844468,40
255,Edgetag,3/6/2022,Commit,Fully-configurable stable middleware,reintermediate mission-critical functionalities,9820506,20
256,Topicware,4/30/2022,Commit,Managed transitional matrices,optimize visionary networks,5162450,40
257,Centizu,7/13/2022,Discovery,Automated scalable framework,orchestrate user-centric solutions,2733714,100
258,Yozio,11/11/2022,Upside,Mandatory modular data-warehouse,deliver open-source e-tailers,9997868,20
259,Babbleopia,7/8/2022,Commit,Secured real-time neural-net,disintermediate sticky interfaces,6825258,40
260,Rhyloo,7/7/2022,Won,Assimilated full-range database,innovate extensible markets,100664,80
261,Meembee,8/23/2022,Won,Open-source mission-critical toolset,visualize web-enabled markets,2026875,20
262,Linklinks,3/31/2022,Commit,Secured 6th generation success,revolutionize impactful experiences,1040335,20
263,Twiyo,8/10/2022,Commit,Multi-channelled context-sensitive leverage,integrate killer schemas,9824940,80
264,Tagfeed,2/4/2023,Upside,Adaptive global capability,optimize 24/365 niches,8951387,40
265,Riffpath,12/3/2022,Upside,Re-contextualized motivating emulation,grow transparent partnerships,1409751,20
266,Skyndu,1/22/2023,Open,Right-sized content-based core,revolutionize bleeding-edge web services,198061,60
267,Trudoo,5/20/2022,Discovery,Sharable 24 hour conglomeration,envisioneer virtual action-items,5663276,40
268,Thoughtbridge,3/7/2023,Lost,Versatile multimedia workforce,drive value-added relationships,4844829,100
269,Skiba,7/2/2022,Upside,Reverse-engineered system-worthy customer loyalty,visualize front-end paradigms,8099216,40
270,Pixoboo,12/30/2022,Upside,Compatible composite support,e-enable impactful convergence,7687934,40
271,Blogpad,2/26/2022,Lost,Secured discrete model,whiteboard viral markets,6726958,100
272,Gigaclub,4/28/2022,Upside,Customer-focused needs-based groupware,enable synergistic infomediaries,2057556,100
273,Skyvu,7/16/2022,Open,Networked local definition,empower impactful paradigms,300139,40
274,Wordify,8/24/2022,Open,Synchronised homogeneous encryption,syndicate front-end initiatives,4550009,60
275,Photospace,1/2/2022,Open,Synchronised explicit open architecture,mesh plug-and-play platforms,2355637,40
276,Bubblemix,7/4/2022,Discovery,Proactive client-server budgetary management,drive value-added content,485028,20
277,Divape,8/31/2022,Upside,Extended full-range productivity,integrate global mindshare,8510459,80
278,Centidel,1/6/2022,Won,Organized exuding implementation,iterate seamless vortals,9956927,100
279,Agivu,10/9/2022,Open,Advanced foreground website,reintermediate front-end experiences,166738,60
280,Skilith,9/16/2022,Commit,Synchronised methodical complexity,transition real-time content,5416165,20
281,Skyba,1/9/2022,Discovery,Triple-buffered leading edge projection,redefine scalable platforms,5841408,20
282,Dynabox,2/5/2022,Lost,Persevering transitional policy,architect ubiquitous schemas,4881879,100
283,Zooxo,1/15/2022,Upside,De-engineered client-driven internet solution,repurpose robust technologies,2759399,20
284,Quatz,6/17/2022,Open,Multi-tiered actuating methodology,grow user-centric niches,8770820,80
285,Rhybox,4/20/2022,Discovery,Front-line leading edge access,brand cutting-edge metrics,7990614,100
286,Zoomlounge,2/4/2022,Open,Profound 3rd generation parallelism,utilize cross-platform supply-chains,7830554,100
287,Skilith,1/17/2022,Open,Assimilated full-range approach,recontextualize end-to-end web-readiness,6202843,20
288,Photospace,2/1/2023,Discovery,Persevering contextually-based collaboration,synthesize world-class models,4908668,60
289,Feedfire,11/6/2022,Lost,Total 4th generation adapter,enable killer channels,4789681,80
290,Twitterbridge,8/7/2022,Lost,Streamlined mission-critical budgetary management,target synergistic metrics,7615771,60
291,Innojam,6/17/2022,Open,Devolved bottom-line alliance,visualize strategic supply-chains,229813,40
292,Skalith,2/18/2022,Open,Profound radical Graphical User Interface,seize dot-com e-business,3427249,80
293,DabZ,1/26/2023,Discovery,Extended 24 hour service-desk,maximize end-to-end eyeballs,9002517,20
294,Realblab,1/18/2022,Open,Inverse logistical moderator,aggregate out-of-the-box initiatives,5199944,20
295,Voomm,8/29/2022,Upside,Configurable eco-centric capability,leverage sexy eyeballs,139218,60
296,Fatz,1/17/2022,Open,Implemented intangible adapter,generate open-source deliverables,1243860,40
297,Skyndu,2/6/2023,Won,Customer-focused executive attitude,brand integrated action-items,9054217,20
298,Voonix,1/28/2022,Lost,Realigned upward-trending website,harness 24/7 architectures,7871257,60
299,Fivechat,6/28/2022,Lost,Networked composite process improvement,enable leading-edge e-tailers,6108479,60
300,Topicstorm,1/12/2022,Lost,Enterprise-wide interactive hardware,integrate distributed infrastructures,9547057,100
301,Twinder,2/26/2022,Lost,Enterprise-wide mobile budgetary management,implement compelling vortals,5385288,60
302,Abatz,3/13/2023,Upside,Distributed uniform parallelism,incentivize B2B partnerships,7515643,80
303,Fivespan,6/30/2022,Lost,Reverse-engineered stable collaboration,streamline dot-com architectures,4594278,100
304,Browsedrive,8/26/2022,Open,Mandatory optimal methodology,whiteboard e-business mindshare,3019310,60
305,Jaxnation,12/29/2022,Commit,Devolved uniform frame,deliver vertical schemas,1426624,40
306,Topiczoom,11/8/2022,Lost,User-centric disintermediate archive,enable holistic channels,6503739,40
307,Camido,1/25/2022,Commit,Face to face disintermediate Graphical User Interface,extend integrated mindshare,7587270,80
308,Kimia,1/5/2023,Won,Programmable context-sensitive encoding,integrate synergistic e-business,7530305,80
309,Roodel,10/9/2022,Commit,Right-sized value-added groupware,drive revolutionary technologies,8523502,40
310,Omba,4/24/2022,Upside,Ergonomic tertiary conglomeration,facilitate rich platforms,4257604,20
311,Oozz,8/2/2022,Upside,Networked homogeneous productivity,expedite web-enabled networks,5245310,80
312,Tazzy,3/4/2023,Commit,Reverse-engineered human-resource database,optimize B2B e-services,7049125,40
313,Dynabox,11/22/2022,Open,Future-proofed holistic website,leverage bleeding-edge vortals,2295475,40
314,Cogilith,2/28/2023,Open,Virtual secondary interface,incentivize clicks-and-mortar mindshare,3610214,60
315,Npath,7/31/2022,Won,Ergonomic full-range architecture,incubate rich networks,7255846,20
316,Twiyo,1/2/2023,Won,Devolved optimizing matrix,cultivate dynamic technologies,2171591,40
317,Viva,9/7/2022,Open,Operative logistical definition,syndicate holistic content,2164714,60
318,Zoombox,12/17/2022,Lost,Phased empowering software,orchestrate e-business supply-chains,6969528,60
319,Vipe,5/11/2022,Lost,De-engineered local solution,streamline wireless interfaces,7422621,80
320,Jazzy,2/1/2022,Commit,Expanded transitional process improvement,visualize wireless platforms,8936844,100
321,Photobean,5/4/2022,Lost,Programmable web-enabled function,empower bleeding-edge synergies,6661415,20
322,Skyba,1/5/2023,Discovery,Managed exuding policy,visualize virtual schemas,7457393,20
323,Digitube,1/1/2023,Won,Universal 24 hour encoding,whiteboard distributed schemas,8644977,20
324,Latz,6/5/2022,Commit,Focused scalable toolset,synthesize distributed deliverables,2441940,80
325,Roomm,2/5/2023,Discovery,Multi-lateral stable software,scale interactive synergies,4341744,80
326,Rhycero,8/22/2022,Won,Multi-channelled client-driven matrices,cultivate frictionless supply-chains,810239,20
327,Yakidoo,2/23/2023,Upside,Cross-group cohesive help-desk,mesh value-added models,3607197,20
328,Trilith,5/23/2022,Won,Upgradable bi-directional portal,brand magnetic applications,3704115,80
329,Brainsphere,10/1/2022,Discovery,Quality-focused holistic definition,expedite integrated architectures,7394777,80
330,Vinte,6/19/2022,Open,Persevering leading edge structure,visualize magnetic schemas,5834426,100
331,Wordpedia,4/16/2022,Discovery,Open-architected zero defect strategy,strategize extensible action-items,2448423,100
332,Skinix,4/20/2022,Upside,User-friendly zero defect core,drive customized synergies,8099501,100
333,Thoughtmix,5/30/2022,Discovery,Operative radical model,syndicate strategic e-business,694269,60
334,Twitterbeat,4/14/2022,Upside,Re-engineered mobile Graphic Interface,aggregate leading-edge mindshare,2599000,60
335,Oba,5/12/2022,Open,Secured 5th generation strategy,expedite user-centric technologies,6558421,100
336,Buzzster,4/14/2022,Commit,Vision-oriented motivating frame,revolutionize 24/7 supply-chains,2899309,60
337,Feedspan,9/29/2022,Upside,Polarised bi-directional parallelism,recontextualize cross-platform e-tailers,5962430,100
338,Cogibox,1/29/2022,Commit,Total human-resource concept,whiteboard collaborative e-business,557202,40
339,Voonder,9/13/2022,Lost,Organized interactive leverage,seize integrated systems,6398394,100
340,Zoozzy,8/10/2022,Discovery,Automated discrete instruction set,utilize next-generation schemas,24089,40
341,Skyndu,9/5/2022,Commit,Polarised scalable initiative,reinvent collaborative web-readiness,4203115,80
342,Livetube,11/20/2022,Open,Face to face client-driven standardization,optimize bleeding-edge action-items,864546,20
343,Feedfire,1/5/2023,Won,Devolved modular functionalities,visualize user-centric vortals,2501448,60
344,Kwinu,9/24/2022,Open,Multi-tiered intangible artificial intelligence,reinvent front-end channels,2451955,100
345,Livefish,11/24/2022,Open,Re-engineered logistical internet solution,visualize strategic relationships,1110339,40
346,Linkbridge,5/3/2022,Won,Ergonomic fault-tolerant concept,strategize visionary content,9580330,20
347,Avaveo,8/8/2022,Open,Visionary logistical parallelism,monetize holistic content,1913152,20
348,Wordify,1/13/2022,Won,Inverse global artificial intelligence,enable next-generation e-services,7562585,20
349,Flashpoint,9/21/2022,Upside,Total disintermediate access,unleash cutting-edge models,5664690,20
350,Kwimbee,1/13/2023,Won,Balanced multimedia artificial intelligence,visualize bricks-and-clicks architectures,5477312,40
351,Lazzy,2/19/2023,Upside,Universal multi-tasking matrices,morph leading-edge e-services,9741179,40
352,Rhynoodle,12/13/2022,Won,Multi-lateral interactive budgetary management,transition holistic markets,8960848,80
353,Blogpad,9/5/2022,Discovery,Vision-oriented coherent artificial intelligence,brand holistic infomediaries,8822309,80
354,Cogibox,9/28/2022,Open,Focused well-modulated workforce,monetize enterprise e-business,3282146,40
355,Topicblab,11/14/2022,Discovery,User-centric homogeneous website,grow collaborative technologies,191815,40
356,Yakidoo,11/12/2022,Discovery,Persevering coherent function,implement cross-platform schemas,1885368,100
357,Kaymbo,12/16/2022,Lost,User-centric zero defect installation,visualize out-of-the-box synergies,4522720,100
358,Flashpoint,8/25/2022,Commit,Up-sized impactful software,e-enable proactive convergence,732332,40
359,Gevee,3/8/2023,Won,Up-sized foreground approach,monetize impactful methodologies,762796,60
360,Meevee,10/8/2022,Open,Fundamental next generation pricing structure,generate user-centric vortals,6486164,40
361,Chatterpoint,9/24/2022,Won,Decentralized even-keeled help-desk,revolutionize distributed eyeballs,3235910,60
362,Realpoint,12/22/2022,Won,Multi-layered well-modulated architecture,cultivate seamless mindshare,6812157,80
363,Topiczoom,3/6/2022,Open,Total impactful collaboration,implement web-enabled paradigms,189447,100
364,Jamia,11/29/2022,Open,Innovative intermediate model,seize dynamic bandwidth,9406845,100
365,Zazio,4/15/2022,Commit,Grass-roots well-modulated initiative,deploy interactive action-items,8156376,40
366,Bubbletube,7/26/2022,Lost,User-centric exuding functionalities,e-enable ubiquitous relationships,2779081,20
367,Skimia,8/16/2022,Won,Operative demand-driven open system,enhance collaborative deliverables,7881213,20
368,Photobug,1/16/2023,Open,Decentralized motivating software,redefine cross-platform e-markets,5603834,100
369,Skimia,7/11/2022,Lost,Seamless zero tolerance open system,embrace scalable networks,487255,80
370,Vinte,8/26/2022,Won,Upgradable intangible adapter,transform innovative applications,7722801,40
371,Skinder,6/30/2022,Open,Adaptive logistical function,aggregate robust communities,8424142,40
372,Blogpad,8/7/2022,Upside,Object-based zero defect methodology,drive visionary systems,6451425,20
373,Brainverse,6/26/2022,Commit,Cloned even-keeled internet solution,disintermediate cutting-edge metrics,9077234,20
374,Photojam,4/26/2022,Upside,Operative multi-tasking Graphical User Interface,exploit wireless experiences,629565,20
375,Katz,10/11/2022,Commit,Quality-focused global benchmark,maximize cross-media convergence,1814720,40
376,Kimia,10/23/2022,Open,Reverse-engineered impactful implementation,enhance proactive initiatives,6452025,40
377,InnoZ,1/25/2023,Won,Distributed uniform moratorium,utilize cross-platform partnerships,6122954,40
378,Thoughtworks,2/14/2023,Upside,Stand-alone heuristic migration,synthesize best-of-breed ROI,5643921,40
379,Gigabox,2/9/2023,Open,Multi-tiered non-volatile implementation,grow integrated e-tailers,401381,60
380,Skyvu,4/6/2022,Commit,Synergized dynamic portal,evolve strategic functionalities,5107374,60
381,Agimba,10/30/2022,Upside,Synergistic multi-state monitoring,redefine distributed networks,672117,80
382,Voonte,12/15/2022,Lost,Object-based zero defect capability,strategize front-end paradigms,7594401,40
383,Tambee,1/25/2022,Discovery,Upgradable discrete challenge,generate global communities,918296,40
384,Jabberbean,11/21/2022,Won,Customer-focused 3rd generation task-force,matrix out-of-the-box convergence,1927438,40
385,Pixonyx,8/12/2022,Commit,Progressive scalable knowledge base,unleash web-enabled infrastructures,171408,80
386,Photofeed,9/23/2022,Commit,Re-contextualized heuristic structure,empower value-added users,1360479,100
387,Oloo,9/11/2022,Commit,Fully-configurable client-driven capacity,expedite plug-and-play content,3818367,60
388,Fatz,3/15/2022,Won,Polarised incremental utilisation,optimize viral deliverables,9064772,80
389,Devify,6/2/2022,Won,Upgradable directional structure,facilitate robust channels,8913034,40
