CompName,closedate,OppStage,OppName,Desc,amount,prob
Browsezoom,02/11/2022,Open,Cross-group didactic flexibility,scale cross-media mindshare,7914872,40
Babbleblab,01/11/2022,Open,Re-engineered object-oriented process improvement,monetize dynamic e-commerce,7661460,20
Rhynyx,07/10/2022,Discovery,Fully-configurable clear-thinking intranet,envisioneer web-enabled infrastructures,2581942,20
Trudeo,02/04/2022,Open,Fundamental secondary system engine,visualize plug-and-play content,882011,40
Feedbug,02/27/2023,Commit,Centralized fresh-thinking toolset,enhance cross-media action-items,9587446,60
Dynava,03/04/2023,Lost,Switchable global workforce,reintermediate global paradigms,7927456,100
Fivechat,01/28/2022,Discovery,Future-proofed human-resource Graphical User Interface,repurpose wireless solutions,3216114,60
Thoughtsphere,01/13/2022,Upside,Function-based analyzing forecast,productize synergistic users,4061298,20
Linkbuzz,04/30/2022,Lost,Networked tangible project,cultivate leading-edge solutions,7263366,80
Browsecat,07/16/2022,Lost,Phased grid-enabled data-warehouse,aggregate mission-critical niches,9341653,40
Rhynoodle,12/12/2022,Open,Enhanced hybrid adapter,streamline scalable e-tailers,5188840,80
Tagpad,03/13/2022,Discovery,Proactive explicit focus group,syndicate seamless systems,1150608,100
Trilith,11/17/2022,Open,Programmable intermediate superstructure,brand strategic vortals,5141512,60
Tambee,07/11/2022,Lost,Distributed value-added concept,leverage viral infrastructures,6350808,100
Quatz,11/25/2022,Discovery,Decentralized zero tolerance process improvement,revolutionize world-class systems,4061159,40
Buzzbean,04/10/2022,Upside,Focused client-server standardization,deploy bricks-and-clicks partnerships,3402887,20
Mymm,08/20/2022,Discovery,Distributed intangible moratorium,visualize clicks-and-mortar content,2033020,40
Brainsphere,01/10/2023,Won,Advanced 3rd generation encryption,empower clicks-and-mortar models,8674704,100
Browsecat,12/29/2022,Won,Enterprise-wide upward-trending emulation,seize holistic solutions,5079866,60
Skaboo,08/16/2022,Open,Adaptive upward-trending instruction set,streamline sexy deliverables,850614,40
Zoombeat,06/09/2022,Lost,Business-focused encompassing adapter,implement visionary mindshare,4634131,80
Gabvine,03/05/2022,Upside,Cross-platform real-time info-mediaries,reinvent 24/365 experiences,2935257,60
Jayo,05/14/2022,Commit,Enterprise-wide clear-thinking portal,productize scalable deliverables,2879650,100
Avamba,11/15/2022,Commit,Organic even-keeled adapter,engage sticky initiatives,3687831,40
Kimia,09/08/2022,Lost,Integrated non-volatile encryption,reinvent holistic methodologies,9052916,60
Camimbo,03/31/2022,Open,Self-enabling homogeneous migration,reintermediate virtual models,8767313,20
Thoughtmix,08/05/2022,Discovery,Profit-focused national pricing structure,strategize frictionless paradigms,4399025,100
Jetwire,01/20/2023,Discovery,Intuitive explicit firmware,embrace web-enabled networks,2297759,60
Camido,06/26/2022,Open,Virtual logistical concept,monetize viral interfaces,6328089,20
Quaxo,02/23/2023,Won,Phased disintermediate local area network,aggregate clicks-and-mortar e-tailers,7656673,20
Vipe,03/12/2022,Commit,Synergistic explicit initiative,revolutionize real-time bandwidth,9571920,100
Brainsphere,04/29/2022,Commit,Front-line context-sensitive standardization,implement B2B initiatives,4536130,100
Mymm,08/11/2022,Upside,Realigned fault-tolerant database,cultivate real-time web services,8042199,80
Tagchat,02/16/2022,Commit,Reactive optimal neural-net,evolve end-to-end communities,5535574,60
Linkbridge,02/23/2022,Won,Profit-focused attitude-oriented benchmark,monetize strategic channels,1189248,80
Twitternation,12/22/2022,Commit,Innovative well-modulated moderator,brand bleeding-edge action-items,568365,60
Skippad,11/23/2022,Commit,Stand-alone hybrid complexity,deliver extensible synergies,1978812,100
Oyonder,02/16/2023,Lost,Decentralized zero defect complexity,enable bleeding-edge mindshare,9818148,40
Topicstorm,11/21/2022,Won,Cross-group mobile function,redefine cutting-edge eyeballs,6191132,20
Trunyx,01/04/2022,Discovery,Persevering interactive hub,maximize holistic niches,2814925,40
Kimia,11/02/2022,Won,Decentralized secondary secured line,monetize strategic networks,5687177,80
Gabspot,11/04/2022,Won,Mandatory transitional open architecture,monetize user-centric synergies,6598692,100
Miboo,01/03/2023,Commit,Triple-buffered maximized internet solution,disintermediate clicks-and-mortar markets,2503855,20
Meemm,12/16/2022,Discovery,Devolved actuating orchestration,redefine 24/7 e-business,5857353,20
Thoughtstorm,01/15/2022,Open,Face to face high-level groupware,engineer B2B schemas,1522827,80
Trunyx,01/17/2022,Open,Total dynamic architecture,matrix collaborative vortals,6910479,40
Skipfire,01/22/2023,Won,Fully-configurable asynchronous array,recontextualize wireless ROI,2169666,80
Eidel,02/01/2022,Discovery,Team-oriented intangible firmware,scale robust mindshare,2109176,100
Photobug,03/19/2022,Lost,Diverse actuating info-mediaries,target scalable action-items,8285566,20
Skajo,06/18/2022,Lost,Cross-group needs-based conglomeration,expedite e-business e-markets,9352297,20
Chatterpoint,10/21/2022,Lost,Total asymmetric website,enable web-enabled synergies,8729462,100
Wordware,11/28/2022,Upside,Inverse optimizing access,streamline collaborative architectures,3014889,80
Devcast,01/05/2022,Open,User-centric mobile local area network,drive 24/7 markets,4227014,100
Aibox,06/19/2022,Open,Ergonomic maximized access,recontextualize clicks-and-mortar users,9145790,100
Twimm,08/19/2022,Won,Polarised user-facing productivity,reinvent proactive supply-chains,8604464,60
Twitterwire,02/24/2023,Lost,Business-focused full-range orchestration,generate synergistic paradigms,6913014,100
Aivee,11/18/2022,Won,Profound radical matrix,evolve B2C experiences,1164227,20
Youopia,10/15/2022,Open,Digitized leading edge challenge,orchestrate user-centric ROI,4893975,40
Babbleset,04/19/2022,Upside,Virtual user-facing protocol,e-enable interactive networks,3274941,100
Fadeo,08/04/2022,Commit,Distributed full-range firmware,orchestrate proactive web-readiness,2428476,60
Wikibox,12/15/2022,Won,Progressive hybrid collaboration,aggregate best-of-breed e-services,6550759,20
Skinix,08/01/2022,Lost,Compatible radical Graphic Interface,incentivize frictionless paradigms,1681356,80
Fiveclub,10/26/2022,Discovery,Multi-layered cohesive definition,evolve wireless infrastructures,3180364,100
Wikizz,06/15/2022,Commit,Multi-channelled fresh-thinking projection,benchmark extensible schemas,1032055,100
Eire,02/06/2023,Won,Total global monitoring,unleash customized eyeballs,2985526,20
Feedspan,01/20/2022,Won,Inverse homogeneous implementation,unleash intuitive infrastructures,4682829,40
Voolia,12/28/2022,Lost,Mandatory grid-enabled throughput,scale customized networks,7611655,100
Chatterpoint,04/14/2022,Commit,Sharable exuding utilisation,disintermediate distributed infrastructures,5409587,20
Kwideo,09/16/2022,Commit,Enterprise-wide stable knowledge user,implement interactive markets,9216233,100
Nlounge,02/09/2023,Open,De-engineered needs-based secured line,target granular e-markets,8581213,60
Browsetype,11/28/2022,Commit,Stand-alone interactive product,orchestrate real-time convergence,2230364,60
Skilith,02/20/2022,Lost,Universal next generation task-force,reinvent efficient convergence,7793461,100
Talane,02/20/2022,Discovery,Robust fault-tolerant matrices,reintermediate intuitive technologies,6511963,100
Photolist,11/22/2022,Discovery,Mandatory tertiary orchestration,deploy compelling channels,9396182,40
Kwimbee,12/30/2022,Open,Up-sized modular function,maximize rich solutions,767914,80
Eamia,02/17/2023,Open,Pre-emptive disintermediate array,unleash customized initiatives,7720453,20
Skaboo,02/21/2023,Won,Innovative exuding matrices,architect synergistic infrastructures,5688102,100
Rooxo,02/18/2022,Discovery,Pre-emptive stable open architecture,leverage integrated solutions,862652,40
Voolith,05/20/2022,Upside,Upgradable mobile alliance,transition out-of-the-box experiences,8665084,80
Jazzy,08/22/2022,Lost,Optional heuristic firmware,streamline impactful e-markets,6301096,20
Flipopia,03/17/2022,Open,Centralized clear-thinking application,target value-added synergies,8562134,80
Ntag,01/17/2022,Won,Optimized bifurcated conglomeration,aggregate value-added convergence,4201140,40
Chatterpoint,04/11/2022,Upside,Profound impactful strategy,reintermediate ubiquitous portals,2068961,100
Brainsphere,04/02/2022,Open,Grass-roots analyzing product,visualize clicks-and-mortar methodologies,4647813,60
Twitterbridge,06/18/2022,Open,Visionary high-level infrastructure,exploit ubiquitous users,946800,60
Mudo,07/19/2022,Commit,Team-oriented bifurcated contingency,reintermediate cross-platform systems,2522939,20
Yombu,08/29/2022,Won,Total maximized open system,harness customized convergence,627347,60
Realpoint,07/23/2022,Won,Profound fault-tolerant support,brand bleeding-edge schemas,6714699,60
Vinte,01/07/2023,Discovery,Reactive object-oriented product,unleash viral platforms,6362590,40
Skippad,05/24/2022,Open,Inverse bandwidth-monitored portal,recontextualize killer mindshare,6617199,80
Babbleset,08/31/2022,Open,Synchronised non-volatile workforce,envisioneer B2B content,3435256,60
Yozio,02/16/2022,Commit,User-friendly composite solution,unleash global methodologies,2045093,60
Youspan,06/27/2022,Upside,Future-proofed background pricing structure,redefine dynamic web services,3621204,80
Babbleblab,07/19/2022,Commit,Multi-layered multi-state capacity,monetize synergistic vortals,6598659,100
Npath,04/30/2022,Open,Managed coherent solution,mesh out-of-the-box e-commerce,6996018,100
Tazz,04/09/2022,Lost,Devolved upward-trending hierarchy,scale web-enabled metrics,9689253,60
Yotz,12/14/2022,Upside,Triple-buffered multi-state moratorium,benchmark innovative mindshare,2345752,40
Digitube,03/14/2023,Discovery,Cloned hybrid database,optimize killer eyeballs,4191561,80
Latz,08/15/2022,Discovery,Optional maximized emulation,embrace mission-critical functionalities,8382925,40
Wikizz,01/25/2022,Lost,Universal modular knowledge user,iterate world-class relationships,9772475,40
Eidel,07/09/2022,Discovery,Enhanced bifurcated service-desk,incentivize best-of-breed functionalities,8553077,80
Quamba,05/19/2022,Lost,Optional well-modulated emulation,synthesize collaborative convergence,6472382,40
Aibox,02/02/2023,Lost,Front-line systematic neural-net,envisioneer holistic e-commerce,5386636,60
Vinder,11/13/2022,Upside,Cloned bandwidth-monitored utilisation,innovate vertical portals,2296553,20
Zoomzone,08/31/2022,Discovery,User-friendly user-facing installation,extend efficient systems,9429026,80
Roombo,12/21/2022,Commit,Versatile human-resource knowledge base,maximize cross-media systems,6414325,60
Fivespan,01/12/2022,Upside,Advanced analyzing emulation,optimize plug-and-play e-tailers,2284834,40
Eidel,10/12/2022,Commit,Compatible leading edge workforce,reintermediate best-of-breed deliverables,5254046,80
Topicstorm,10/04/2022,Discovery,Distributed scalable challenge,envisioneer innovative channels,1277974,80
Yodo,11/21/2022,Commit,Compatible intermediate software,whiteboard B2B models,9518690,100
Reallinks,04/30/2022,Lost,Programmable encompassing alliance,empower clicks-and-mortar action-items,4740599,40
Tavu,12/23/2022,Open,Function-based interactive interface,integrate synergistic platforms,536029,20
Skyvu,01/07/2022,Lost,Universal maximized methodology,transform cross-media web services,3935269,80
Yakidoo,01/10/2023,Lost,Networked bi-directional Graphical User Interface,matrix world-class web services,1133376,60
Realblab,03/01/2022,Discovery,Ameliorated content-based alliance,unleash user-centric web-readiness,707567,80
Jabbercube,03/14/2022,Lost,Ameliorated full-range model,cultivate B2B content,8934123,60
Livetube,01/12/2022,Discovery,Sharable zero administration interface,optimize visionary architectures,4292078,80
Omba,02/05/2023,Lost,Reverse-engineered user-facing interface,extend open-source e-commerce,4915237,40
Flashdog,02/18/2023,Upside,Polarised heuristic analyzer,unleash cutting-edge e-services,3627037,60
Oodoo,11/23/2022,Upside,Streamlined intermediate process improvement,target web-enabled users,4757542,60
Dynava,04/23/2022,Commit,Streamlined 5th generation complexity,revolutionize e-business initiatives,3294367,80
Gevee,01/15/2023,Won,Visionary transitional contingency,transition intuitive metrics,6809670,100
Minyx,10/07/2022,Lost,Sharable fault-tolerant architecture,syndicate global e-markets,3383177,80
Feedfire,01/12/2023,Commit,Up-sized client-server parallelism,syndicate B2B niches,9698513,20
Browsebug,02/08/2022,Commit,Decentralized homogeneous collaboration,incentivize seamless architectures,6471150,60
Eamia,01/14/2022,Discovery,Diverse asynchronous local area network,leverage killer mindshare,6058351,20
Yacero,03/15/2023,Lost,Horizontal exuding flexibility,mesh interactive e-markets,7912965,80
Topicshots,03/08/2022,Upside,Expanded contextually-based emulation,cultivate extensible experiences,7828240,60
Feednation,01/23/2022,Lost,Multi-layered global hardware,unleash e-business initiatives,605893,100
Shufflester,02/20/2023,Open,Business-focused didactic support,orchestrate cutting-edge e-markets,6327448,40
Voomm,03/28/2022,Commit,Front-line actuating neural-net,reintermediate out-of-the-box portals,2867280,40
Brainverse,06/10/2022,Won,Polarised homogeneous projection,reinvent revolutionary channels,1852134,60
Minyx,11/19/2022,Discovery,Quality-focused secondary knowledge user,evolve 24/365 e-commerce,2319746,40
Yambee,03/09/2023,Upside,Multi-lateral next generation standardization,harness ubiquitous portals,9076662,100
Babbleset,10/09/2022,Open,Profit-focused next generation knowledge user,repurpose global portals,8535968,40
Yombu,07/08/2022,Open,Fully-configurable background matrix,implement holistic paradigms,8797504,100
Gevee,08/10/2022,Lost,Open-architected composite strategy,embrace interactive portals,3786237,40
Lajo,02/28/2022,Upside,Synergistic analyzing product,envisioneer world-class metrics,4445053,80
Dynava,07/02/2022,Open,Multi-lateral demand-driven concept,deliver vertical infomediaries,9515962,60
Oyonder,01/31/2023,Commit,Operative zero defect superstructure,generate bleeding-edge e-services,1949617,80
Zoomlounge,10/27/2022,Discovery,Business-focused interactive flexibility,transition 24/365 interfaces,4413669,100
Talane,02/23/2022,Open,Configurable homogeneous local area network,innovate proactive networks,5055835,80
Realcube,05/21/2022,Upside,Business-focused zero defect protocol,streamline turn-key convergence,9996812,60
Dabvine,03/19/2022,Open,Organized foreground installation,synergize sticky e-business,6682037,80
Thoughtmix,08/08/2022,Lost,Compatible 4th generation secured line,synergize dot-com ROI,1423358,80
Photolist,04/02/2022,Discovery,Quality-focused dedicated benchmark,grow front-end e-business,9124456,100
Buzzbean,05/12/2022,Lost,Fully-configurable dynamic customer loyalty,reinvent compelling applications,7239251,40
Vipe,06/09/2022,Commit,Versatile motivating approach,evolve scalable methodologies,449512,20
Yakijo,12/27/2022,Open,Sharable content-based projection,unleash revolutionary experiences,6743402,100
Babblestorm,01/18/2023,Discovery,Distributed motivating toolset,disintermediate dot-com web services,790491,100
Twimm,09/15/2022,Commit,Multi-layered optimal interface,streamline world-class solutions,4911160,100
Twinte,02/02/2022,Lost,Synchronised human-resource encryption,transition turn-key metrics,3934519,20
Voolith,10/21/2022,Won,Front-line full-range policy,repurpose cross-platform niches,3072327,20
Chatterbridge,02/04/2023,Lost,Balanced attitude-oriented benchmark,leverage B2C convergence,1412786,80
Nlounge,01/09/2023,Open,Centralized context-sensitive service-desk,target vertical e-business,2527728,100
Rhyloo,02/02/2023,Upside,Adaptive bandwidth-monitored knowledge user,productize efficient markets,2162658,40
Quatz,08/12/2022,Upside,Networked attitude-oriented structure,leverage ubiquitous experiences,7772704,100
Zooveo,03/23/2022,Commit,Secured optimizing initiative,incubate scalable e-markets,1404671,20
Cogibox,07/11/2022,Commit,Fully-configurable incremental info-mediaries,syndicate mission-critical mindshare,9365987,40
Rhyloo,06/08/2022,Lost,Cross-platform explicit project,productize cross-media channels,9337451,20
Dablist,11/21/2022,Upside,Face to face dynamic hub,morph killer platforms,7643941,40
Tavu,01/30/2022,Upside,Reactive neutral customer loyalty,strategize magnetic e-business,5082513,80
Innojam,02/18/2023,Won,Business-focused fault-tolerant hierarchy,visualize bricks-and-clicks technologies,1674063,80
Shuffledrive,03/12/2022,Won,User-centric heuristic interface,transition frictionless methodologies,5116020,100
Devshare,01/31/2023,Upside,Multi-lateral homogeneous parallelism,generate B2B partnerships,5200358,60
Zoozzy,02/02/2022,Won,Devolved logistical strategy,iterate viral metrics,1513699,60
Ainyx,08/16/2022,Discovery,Optimized transitional functionalities,expedite distributed vortals,5660738,40
Vimbo,02/19/2023,Won,Right-sized hybrid database,facilitate 24/365 bandwidth,2002980,40
Zava,10/01/2022,Discovery,Reduced zero tolerance encoding,morph leading-edge methodologies,3134650,40
Shufflebeat,11/18/2022,Discovery,Innovative 3rd generation capacity,deploy customized synergies,4903470,20
Edgetag,08/23/2022,Discovery,Organized modular utilisation,visualize synergistic markets,3531429,60
Zoomzone,07/16/2022,Discovery,Distributed system-worthy methodology,transform mission-critical systems,6215422,60
Browsecat,11/09/2022,Discovery,Balanced fresh-thinking software,streamline clicks-and-mortar mindshare,9484384,60
Dabvine,09/06/2022,Lost,Operative zero defect software,brand integrated technologies,4460875,100
Thoughtstorm,11/23/2022,Won,Integrated local challenge,redefine dynamic deliverables,2922901,40
Youspan,02/08/2022,Open,Programmable fresh-thinking knowledge base,deploy efficient solutions,2961425,100
Realblab,03/10/2022,Upside,Right-sized responsive flexibility,monetize bricks-and-clicks e-markets,2869180,40
Ntags,03/29/2022,Won,Implemented bi-directional system engine,engage rich e-business,9234368,20
Gevee,03/09/2023,Commit,Face to face asynchronous data-warehouse,revolutionize frictionless markets,9431912,40
Oyonder,04/07/2022,Won,Monitored 6th generation standardization,drive bricks-and-clicks e-services,9939927,20
Muxo,01/30/2022,Discovery,Business-focused eco-centric superstructure,reintermediate viral systems,2675152,40
Topicshots,03/12/2022,Commit,Switchable discrete implementation,deploy dot-com e-business,4299721,60
Devpulse,03/17/2022,Lost,Re-engineered multi-tasking knowledge user,leverage one-to-one synergies,5600491,100
Jabbersphere,02/09/2022,Lost,Enterprise-wide system-worthy circuit,enhance ubiquitous systems,6485015,40
Wikizz,08/25/2022,Open,Profound homogeneous functionalities,leverage B2C technologies,4251825,60
Gabspot,11/11/2022,Won,Proactive neutral throughput,expedite e-business web-readiness,5966018,60
Roomm,06/27/2022,Upside,Persistent human-resource database,redefine user-centric niches,9097675,80
Shufflebeat,06/24/2022,Upside,Public-key optimal product,deploy granular markets,4315819,20
Divape,10/02/2022,Lost,Vision-oriented content-based leverage,streamline next-generation schemas,8172319,80
Zoomcast,01/13/2022,Upside,Centralized solution-oriented concept,innovate visionary paradigms,5415944,60
Dynazzy,02/13/2022,Open,Synergistic asymmetric conglomeration,envisioneer plug-and-play supply-chains,7130718,100
Jayo,01/22/2022,Won,Exclusive encompassing approach,iterate out-of-the-box infrastructures,323124,80
Trilia,05/01/2022,Won,Quality-focused client-driven application,enhance seamless functionalities,5124880,80
Oodoo,05/23/2022,Lost,Decentralized upward-trending strategy,synergize bricks-and-clicks communities,619493,20
Trilith,04/07/2022,Commit,Inverse bifurcated strategy,morph seamless applications,6820819,80
Oyonder,08/24/2022,Upside,Open-architected heuristic knowledge user,grow compelling web-readiness,9776380,20
Zoomcast,05/19/2022,Won,Proactive empowering functionalities,drive back-end e-tailers,3573124,60
Zazio,02/14/2023,Won,Managed web-enabled synergy,facilitate global ROI,6156219,60
Demizz,01/02/2023,Commit,Decentralized zero defect Graphic Interface,synergize impactful content,7644424,40
