CompName,closedate,OppStage,OppName,Desc,amount,prob
Thoughtsphere,9/14/22,Discovery,Seamless fresh-thinking flexibility,exploit sexy synergies,8309679,40
Thoughtmix,1/21/22,Open,Re-contextualized responsive knowledge user,expedite compelling platforms,7410766,60
Leenti,4/13/22,Won,Sharable stable benchmark,benchmark wireless channels,1665412,80
Mita,4/5/22,Open,Robust foreground task-force,grow value-added niches,2397944,100
Twitterbeat,4/6/22,Lost,Inverse client-driven middleware,integrate plug-and-play architectures,3288270,40
Dabshots,5/24/22,Commit,Virtual intangible array,iterate clicks-and-mortar platforms,8241140,20
Quatz,12/17/22,Won,Advanced bi-directional attitude,iterate world-class methodologies,9539146,60
Voomm,11/9/22,Lost,Multi-layered even-keeled encoding,scale bleeding-edge partnerships,3829518,20
Voonyx,7/12/22,Discovery,Reduced systemic groupware,strategize B2C bandwidth,7469549,40
Tavu,3/26/22,Upside,Reactive optimal knowledge base,transform leading-edge models,8113911,40
Yacero,1/15/23,Discovery,Networked analyzing system engine,monetize B2C methodologies,9381505,100
Zoozzy,3/27/22,Open,Realigned 3rd generation budgetary management,scale integrated users,5035205,100
Rooxo,4/27/22,Discovery,Profit-focused 24/7 local area network,deploy e-business web-readiness,9145719,40
Centizu,12/23/22,Discovery,Multi-lateral uniform complexity,enhance scalable convergence,7711835,100
Avamba,5/6/22,Open,Networked optimizing encryption,disintermediate mission-critical infomediaries,5295129,100
Eamia,6/27/22,Upside,Configurable homogeneous Graphic Interface,exploit one-to-one users,2846932,60
Oyoba,2/22/22,Open,Cloned homogeneous protocol,optimize visionary users,971837,60
Chatterpoint,5/11/22,Won,Realigned value-added process improvement,generate back-end ROI,1752257,60
Skynoodle,6/9/22,Open,Business-focused background pricing structure,productize vertical technologies,2163548,40
Livetube,10/19/22,Discovery,Horizontal system-worthy help-desk,engineer virtual functionalities,3027892,60
Browsecat,3/30/22,Upside,Multi-tiered regional solution,enhance web-enabled e-commerce,4435011,100
Skinix,8/5/22,Upside,Stand-alone uniform architecture,transform end-to-end channels,7923295,60
Trilith,8/12/22,Discovery,Function-based global utilisation,innovate extensible initiatives,6895517,80
Yodoo,1/9/22,Discovery,Robust background implementation,envisioneer back-end supply-chains,6269101,100
Yamia,8/4/22,Upside,Synergized needs-based throughput,engage viral mindshare,9272824,40
Aimbu,8/8/22,Commit,User-centric logistical migration,exploit proactive e-markets,6691086,100
Oyondu,5/28/22,Open,Organized composite methodology,strategize best-of-breed synergies,9599638,40
Flashpoint,2/27/23,Upside,Compatible tertiary infrastructure,synergize integrated ROI,5738725,20
Skinte,10/26/22,Discovery,Secured stable collaboration,streamline e-business metrics,8024656,40
Thoughtmix,11/24/22,Commit,Balanced needs-based secured line,recontextualize cross-platform web-readiness,3462096,40
Quatz,9/28/22,Discovery,Exclusive directional ability,architect interactive experiences,1134542,20
LiveZ,5/3/22,Won,Self-enabling content-based core,aggregate enterprise functionalities,2690515,60
Teklist,2/4/23,Upside,Sharable mission-critical synergy,integrate granular users,3263402,20
Jayo,4/29/22,Lost,Extended discrete artificial intelligence,evolve dot-com web-readiness,3828570,60
Yacero,11/25/22,Discovery,Persevering asynchronous ability,leverage magnetic applications,940773,40
Wordify,12/25/22,Lost,Operative demand-driven customer loyalty,innovate cross-media web services,9029089,60
Photobug,7/14/22,Open,Re-contextualized logistical strategy,seize out-of-the-box networks,1323870,100
Jetwire,9/4/22,Discovery,Optimized even-keeled project,facilitate intuitive web services,5195644,40
Roomm,10/12/22,Upside,Focused intangible database,implement 24/365 portals,9253865,20
Innojam,9/24/22,Discovery,Digitized cohesive portal,syndicate wireless niches,4918257,20
Photobug,12/12/22,Open,Organized 4th generation intranet,aggregate compelling channels,1688998,100
Zoombeat,5/23/22,Commit,Synchronised didactic alliance,utilize web-enabled networks,9215771,20
Skyndu,2/4/22,Upside,Future-proofed well-modulated superstructure,envisioneer world-class deliverables,2165364,60
Linktype,1/28/22,Lost,Operative zero administration task-force,monetize B2C experiences,4162357,20
Meedoo,9/15/22,Upside,Cross-group methodical data-warehouse,visualize rich communities,8609760,20
Blogtag,6/5/22,Won,Front-line intermediate database,cultivate plug-and-play bandwidth,5640325,20
Pixonyx,8/12/22,Won,Re-engineered encompassing workforce,benchmark impactful paradigms,4353529,60
Latz,1/15/23,Commit,Cross-group national time-frame,embrace user-centric systems,6859074,80
Eire,1/22/23,Upside,Function-based 5th generation data-warehouse,transition frictionless architectures,3109532,60
Gabvine,1/3/22,Lost,Multi-channelled 6th generation implementation,iterate cross-media e-commerce,9990244,60
Bluezoom,12/8/22,Commit,Multi-channelled full-range orchestration,enhance efficient functionalities,7623108,100
Trilia,11/15/22,Won,Secured hybrid functionalities,leverage out-of-the-box applications,3134627,40
Avaveo,9/2/22,Discovery,Secured systemic monitoring,recontextualize cross-platform niches,9188612,20
Innotype,6/7/22,Discovery,Face to face responsive software,engage viral e-tailers,7075573,20
Zava,9/30/22,Lost,Down-sized encompassing core,transition end-to-end channels,5527134,20
Skiptube,6/14/22,Upside,Inverse 24/7 interface,revolutionize plug-and-play convergence,4731167,60
Photobug,12/17/22,Upside,Virtual methodical hierarchy,generate granular functionalities,5217007,60
Livefish,9/30/22,Upside,Persevering mission-critical process improvement,reintermediate front-end platforms,4690176,80
Quinu,3/31/22,Won,Realigned zero administration ability,drive turn-key methodologies,6322314,20
Avavee,5/23/22,Open,Up-sized systematic pricing structure,monetize revolutionary e-business,6261879,60
Leexo,4/13/22,Commit,Balanced 24/7 circuit,envisioneer viral e-commerce,8879498,80
Photobean,11/10/22,Lost,Upgradable intangible structure,embrace turn-key architectures,6179566,100
Leenti,1/30/22,Won,Innovative heuristic monitoring,orchestrate end-to-end platforms,2940905,80
Snaptags,1/1/22,Commit,Quality-focused incremental interface,extend best-of-breed infrastructures,2652221,100
Thoughtbeat,1/14/22,Won,Sharable content-based portal,visualize web-enabled mindshare,5222124,40
Fivechat,11/24/22,Discovery,Sharable 24 hour artificial intelligence,optimize B2C infomediaries,6251722,20
Eimbee,1/12/23,Lost,Fundamental discrete open system,productize back-end paradigms,4075791,20
Viva,3/15/23,Discovery,Public-key composite firmware,implement virtual ROI,6973885,100
Jetwire,1/20/22,Commit,Compatible zero defect success,evolve front-end communities,7834931,100
Shufflester,12/20/22,Open,Organic system-worthy emulation,productize world-class deliverables,7325794,60
Realfire,5/4/22,Won,Re-contextualized real-time strategy,deploy granular infrastructures,4927115,100
Npath,3/30/22,Upside,Reactive user-facing productivity,reinvent killer methodologies,6241276,60
Edgewire,4/10/22,Discovery,Programmable non-volatile protocol,syndicate virtual functionalities,1738846,40
Rhycero,6/18/22,Discovery,Implemented optimal utilisation,architect visionary e-business,6304136,100
Dynava,2/22/23,Discovery,Fully-configurable encompassing array,redefine extensible communities,7338871,80
Realpoint,9/21/22,Upside,Implemented explicit throughput,synthesize viral methodologies,3672604,80
Twitterworks,11/23/22,Open,Synergistic analyzing focus group,optimize customized e-business,3561975,60
Wordware,8/2/22,Commit,Persevering bandwidth-monitored concept,implement sticky schemas,2061993,80
Zoomdog,6/13/22,Discovery,Re-contextualized 3rd generation installation,synergize B2C infomediaries,7703911,80
Dazzlesphere,1/17/22,Commit,Inverse high-level focus group,brand world-class infomediaries,3295616,60
Buzzdog,1/26/22,Discovery,Right-sized human-resource flexibility,morph B2B content,6573086,60
Omba,9/22/22,Lost,Adaptive optimizing benchmark,empower robust e-commerce,5954686,20
Browsedrive,11/9/22,Upside,Intuitive contextually-based open architecture,architect one-to-one infomediaries,8049733,20
Ozu,6/3/22,Commit,Enterprise-wide asynchronous matrix,maximize frictionless e-markets,190416,80
Rhyzio,7/30/22,Won,Virtual interactive data-warehouse,grow turn-key synergies,2633307,20
Tagchat,9/30/22,Lost,Ameliorated context-sensitive superstructure,matrix vertical functionalities,3779946,40
Oyondu,5/28/22,Upside,Cross-group leading edge challenge,deliver wireless users,6104413,20
Latz,9/15/22,Discovery,Reduced client-driven project,revolutionize compelling applications,3692558,20
Minyx,5/8/22,Lost,Optimized methodical core,cultivate extensible applications,5688151,80
Gabcube,11/5/22,Open,Down-sized interactive structure,incubate revolutionary platforms,8826127,40
Digitube,11/3/22,Discovery,Horizontal intermediate neural-net,integrate cross-platform partnerships,7782355,100
Feedspan,4/28/22,Open,Quality-focused exuding collaboration,leverage value-added interfaces,3531092,20
Skimia,9/16/22,Won,Optimized object-oriented structure,incentivize proactive communities,9158612,80
Leenti,5/19/22,Open,Operative exuding process improvement,syndicate one-to-one relationships,7216190,40
Myworks,4/24/22,Open,Mandatory mobile model,visualize value-added convergence,2622517,60
Livefish,9/5/22,Upside,Up-sized discrete Graphical User Interface,architect extensible e-business,7744179,40
Myworks,11/11/22,Won,Secured stable function,engineer leading-edge models,1081743,60
Kimia,7/21/22,Commit,Cross-platform composite hierarchy,incentivize global mindshare,1663974,20
Innojam,10/30/22,Commit,Re-contextualized mission-critical initiative,expedite synergistic e-markets,3519494,40
Jaxbean,7/15/22,Commit,Down-sized mission-critical system engine,extend scalable vortals,8462094,80
Trilith,5/13/22,Lost,Enterprise-wide multi-tasking application,deliver out-of-the-box action-items,8416209,20
Photojam,11/5/22,Commit,Distributed real-time policy,leverage 24/365 eyeballs,7383863,20
Quinu,8/28/22,Open,Business-focused bifurcated functionalities,revolutionize revolutionary e-commerce,6833733,60
Brainlounge,2/14/22,Lost,Optimized incremental moderator,synergize strategic ROI,225193,40
Topicware,4/3/22,Open,Fully-configurable even-keeled functionalities,extend bleeding-edge methodologies,4421741,20
DabZ,2/1/22,Won,Team-oriented didactic hub,envisioneer user-centric e-services,8092570,100
Lajo,1/29/22,Won,Automated systemic collaboration,monetize back-end applications,7783713,20
Eamia,12/2/22,Won,Cloned high-level emulation,extend next-generation applications,9293056,80
Youspan,9/29/22,Lost,Focused even-keeled portal,innovate enterprise infomediaries,934510,60
Camimbo,3/10/22,Commit,Implemented neutral initiative,e-enable enterprise relationships,7401039,40
Oozz,7/24/22,Commit,Function-based didactic local area network,engage integrated users,4435941,80
Skynoodle,7/13/22,Open,De-engineered regional website,grow customized web-readiness,5081197,100
Youspan,7/7/22,Commit,Open-source incremental protocol,embrace extensible infrastructures,4177866,100
Skynoodle,10/1/22,Won,Expanded upward-trending installation,iterate magnetic paradigms,2436443,80
Zoomcast,2/20/23,Upside,Centralized responsive success,matrix bricks-and-clicks architectures,196150,60
Mymm,12/16/22,Won,Automated hybrid workforce,iterate sticky experiences,7621031,60
Devpoint,12/6/22,Commit,Switchable incremental toolset,e-enable front-end e-markets,6097838,60
Innotype,1/21/22,Open,Balanced encompassing collaboration,harness synergistic e-markets,1159219,100
Linktype,8/29/22,Lost,Persistent neutral analyzer,facilitate leading-edge communities,4438529,40
Vinte,3/25/22,Open,Stand-alone motivating initiative,optimize value-added deliverables,3091036,40
Browseblab,12/13/22,Discovery,Managed impactful portal,incentivize out-of-the-box interfaces,4965402,100
Jaxbean,2/27/22,Lost,Organic optimizing service-desk,syndicate real-time paradigms,1082842,20
Youbridge,2/16/23,Won,Synchronised system-worthy workforce,drive 24/7 e-services,4409154,40
Reallinks,11/18/22,Commit,Polarised hybrid collaboration,enhance virtual web services,7344123,40
Fanoodle,4/29/22,Commit,Enhanced fresh-thinking concept,enhance intuitive metrics,4828051,80
Linkbuzz,9/4/22,Upside,Fundamental impactful website,strategize best-of-breed synergies,4575793,20
Vitz,5/2/22,Upside,Customizable empowering initiative,streamline end-to-end users,2882495,40
Shuffletag,5/14/22,Discovery,Fully-configurable modular open system,synergize B2B mindshare,2291553,100
Photolist,1/22/23,Won,Fully-configurable 24/7 architecture,unleash rich models,3692136,20
Photobug,11/4/22,Lost,User-friendly national groupware,matrix innovative channels,3275600,40
Katz,1/12/22,Lost,Ergonomic needs-based conglomeration,empower dynamic markets,2271046,80
Pixoboo,3/20/22,Lost,Switchable mission-critical encryption,benchmark real-time platforms,359165,100
Voonte,1/28/23,Lost,Pre-emptive heuristic encryption,generate cutting-edge models,6560335,40
Brainbox,3/17/22,Discovery,Devolved fresh-thinking budgetary management,evolve frictionless e-markets,4924754,20
Oodoo,3/11/22,Commit,Expanded value-added orchestration,architect extensible communities,6313256,80
Ntags,7/10/22,Upside,Function-based background analyzer,facilitate efficient action-items,1348691,80
Blogtag,1/22/22,Open,Automated interactive throughput,transform out-of-the-box models,6916720,60
Riffwire,7/25/22,Open,Robust intermediate Graphic Interface,incentivize B2C initiatives,4304098,100
Teklist,2/27/23,Won,Business-focused background challenge,mesh virtual convergence,5518520,80
Eire,11/29/22,Upside,De-engineered tertiary capacity,enhance virtual niches,845338,100
Shufflester,11/6/22,Won,Triple-buffered 24/7 circuit,scale world-class deliverables,3084086,40
Twiyo,4/20/22,Won,Profit-focused context-sensitive architecture,orchestrate vertical markets,4686692,100
Oba,5/23/22,Lost,Versatile analyzing support,repurpose 24/7 web services,7613582,40
Eadel,2/10/23,Upside,Open-architected secondary database,transition magnetic solutions,3656971,100
Yakitri,11/13/22,Commit,Robust multimedia service-desk,orchestrate real-time niches,3103244,60
Shufflester,8/25/22,Upside,Streamlined foreground pricing structure,redefine transparent systems,7811009,40
Realblab,3/13/23,Discovery,Customer-focused transitional Graphic Interface,deploy one-to-one web-readiness,2725823,40
Avamm,3/12/23,Commit,Phased fresh-thinking matrices,scale collaborative e-tailers,469633,60
Gigabox,1/20/22,Won,Synergistic client-server Graphic Interface,scale frictionless technologies,1797778,20
Jatri,4/25/22,Discovery,Intuitive mobile access,integrate dot-com e-tailers,7219396,40
Divanoodle,1/26/23,Upside,Profit-focused non-volatile standardization,leverage enterprise bandwidth,8670824,80
Skinder,2/1/22,Won,Up-sized multimedia artificial intelligence,expedite killer initiatives,3370454,60
Avaveo,1/28/23,Commit,Future-proofed intangible structure,redefine open-source e-business,2936572,80
Eazzy,2/12/22,Discovery,Operative grid-enabled encryption,seize magnetic portals,8474203,100
Oodoo,6/11/22,Won,Compatible multimedia internet solution,syndicate revolutionary interfaces,3903912,80
Edgetag,6/4/22,Won,Seamless high-level migration,optimize revolutionary niches,383313,80
Dablist,9/14/22,Commit,Cross-group logistical encoding,unleash 24/365 supply-chains,342537,40
Oyonder,10/26/22,Won,Cross-group neutral software,implement revolutionary platforms,8807553,80
Einti,9/1/22,Discovery,Upgradable fresh-thinking challenge,optimize web-enabled supply-chains,571515,60
Feedfire,2/13/23,Discovery,Business-focused cohesive hardware,drive end-to-end e-services,224513,100
Zoombox,12/10/22,Won,Mandatory real-time architecture,synthesize clicks-and-mortar experiences,4085616,20
Thoughtbeat,3/17/22,Commit,Focused neutral core,iterate plug-and-play e-markets,4089273,100
Livetube,10/19/22,Open,Upgradable dedicated migration,drive extensible supply-chains,6747909,20
Talane,2/10/23,Upside,Grass-roots encompassing artificial intelligence,e-enable one-to-one functionalities,7966404,40
Brightbean,12/16/22,Upside,Multi-lateral attitude-oriented installation,engage global relationships,3786210,40
Rhynoodle,12/28/22,Open,Virtual responsive open system,iterate collaborative infrastructures,498567,40
Photobug,3/25/22,Lost,Re-engineered non-volatile help-desk,integrate virtual niches,5098315,20
Yodoo,5/6/22,Discovery,Quality-focused context-sensitive internet solution,recontextualize mission-critical mindshare,8650671,80
Jaxnation,5/16/22,Upside,Optimized 24 hour encryption,deliver efficient content,3896637,40
Divanoodle,9/11/22,Upside,Implemented cohesive frame,implement leading-edge e-tailers,9766640,20
Rooxo,2/14/23,Lost,Focused intangible throughput,integrate strategic applications,6071787,40
Photobug,11/25/22,Discovery,Operative executive Graphical User Interface,maximize virtual technologies,757783,60
Mydo,11/22/22,Commit,Upgradable global firmware,recontextualize efficient metrics,1965788,80
Oyope,5/5/22,Lost,Team-oriented secondary archive,transition end-to-end interfaces,1422995,20
Twitterworks,12/15/22,Lost,Compatible intangible installation,reintermediate virtual technologies,6406364,20
Blognation,1/28/23,Upside,Managed zero defect implementation,reinvent scalable relationships,3677230,60
Janyx,10/14/22,Open,Enhanced optimizing data-warehouse,cultivate real-time models,1810289,60
Yabox,5/27/22,Upside,Upgradable solution-oriented collaboration,streamline end-to-end action-items,8183448,20
Jabbersphere,1/16/23,Discovery,Compatible clear-thinking protocol,drive world-class experiences,7491614,80
Vipe,3/9/23,Lost,Sharable value-added capacity,embrace rich metrics,6251300,60
Minyx,12/8/22,Discovery,Robust bifurcated solution,visualize customized e-business,4554310,20
Babblestorm,2/6/23,Discovery,Front-line asynchronous customer loyalty,synergize enterprise synergies,5706438,40
Twitterbeat,3/6/23,Discovery,Upgradable clear-thinking installation,repurpose web-enabled e-services,7355789,20
Roombo,1/12/22,Commit,Compatible user-facing extranet,cultivate frictionless web-readiness,8982056,60
Topicware,9/22/22,Lost,Fully-configurable responsive emulation,transform scalable portals,5964638,80
Jabbertype,3/1/23,Upside,Open-architected client-server focus group,benchmark rich applications,980723,20
Buzzster,3/20/22,Lost,Optimized secondary infrastructure,empower one-to-one e-services,9488883,80
Wikido,2/23/22,Commit,Open-architected logistical internet solution,e-enable efficient mindshare,7073994,60
Fivechat,6/2/22,Won,Total optimizing complexity,envisioneer efficient infomediaries,6711599,40
Viva,10/5/22,Lost,Progressive heuristic database,transition rich e-markets,6184201,100
Zava,1/1/22,Open,Vision-oriented attitude-oriented complexity,target granular synergies,1884530,100
Jamia,4/28/22,Open,Self-enabling intermediate utilisation,recontextualize web-enabled niches,7406959,80
Photojam,6/29/22,Discovery,Robust intangible structure,incentivize customized interfaces,3564568,100
Twinder,1/10/22,Open,Universal uniform middleware,benchmark rich technologies,558235,100
Twitterworks,3/27/22,Commit,Organic real-time matrices,seize e-business web services,7102325,60
Trudeo,4/12/22,Discovery,Integrated mission-critical productivity,implement extensible paradigms,2413563,20
Kare,2/27/23,Lost,Up-sized didactic emulation,enhance dynamic web services,5768226,80
Youspan,8/26/22,Upside,Enhanced bi-directional intranet,mesh back-end technologies,5158659,80
Latz,4/10/22,Upside,Open-source bifurcated info-mediaries,evolve proactive architectures,9811482,100
Linklinks,6/25/22,Upside,Cloned incremental complexity,transform plug-and-play initiatives,4258443,60
Yoveo,10/7/22,Open,Organized homogeneous implementation,cultivate plug-and-play schemas,1973131,40
Shuffledrive,11/30/22,Upside,Public-key impactful analyzer,expedite global infomediaries,8682429,100
Devbug,12/5/22,Upside,Synergized bottom-line algorithm,matrix front-end portals,5668080,60
Twinte,2/2/22,Upside,Organized tangible pricing structure,deploy front-end ROI,3463060,20
Voomm,2/2/22,Lost,Progressive methodical knowledge base,strategize seamless initiatives,7711440,20
Feednation,3/25/22,Won,Phased human-resource complexity,e-enable user-centric deliverables,2890700,20
Blogtag,7/30/22,Commit,Phased fresh-thinking project,transform end-to-end e-services,3023238,40
Zoomcast,8/8/22,Commit,Inverse optimizing hub,revolutionize user-centric technologies,1068335,80
Npath,8/6/22,Lost,Virtual heuristic moratorium,disintermediate scalable metrics,6366806,20
Katz,7/12/22,Open,Proactive disintermediate standardization,architect cross-platform mindshare,6162239,40
Dynava,1/10/23,Won,Cross-group hybrid capacity,transform ubiquitous channels,6236564,60
Vipe,7/27/22,Discovery,Innovative even-keeled migration,disintermediate robust infrastructures,2634721,40
Gigashots,2/23/23,Upside,Cross-group dynamic approach,matrix scalable experiences,7267703,80
Yakijo,2/18/22,Open,Down-sized motivating core,monetize cross-platform partnerships,1736909,20
Gigabox,8/11/22,Upside,Object-based encompassing challenge,embrace back-end methodologies,562781,60
Chatterpoint,3/22/22,Won,Team-oriented human-resource data-warehouse,brand frictionless e-services,733294,20
Vitz,11/9/22,Discovery,Ergonomic solution-oriented flexibility,engage dynamic platforms,7566211,20
Jabberstorm,2/6/22,Upside,Extended coherent attitude,transition out-of-the-box communities,6647094,20
Yakidoo,3/19/22,Won,Fully-configurable regional knowledge base,expedite world-class applications,1592755,80
Realbridge,7/7/22,Discovery,Persistent solution-oriented capability,streamline B2B e-services,9388760,80
Voomm,5/6/22,Commit,Automated object-oriented function,transition vertical e-markets,3652266,60
Skynoodle,2/2/22,Open,Decentralized impactful data-warehouse,engineer revolutionary portals,6617447,60
Voonyx,1/29/23,Discovery,Implemented multi-state success,orchestrate global channels,564490,100
Eare,7/11/22,Discovery,Cloned executive process improvement,strategize extensible e-commerce,2988827,80
Browsebug,7/2/22,Upside,Down-sized local circuit,benchmark 24/365 users,3435406,60
Mydo,4/15/22,Discovery,Digitized even-keeled website,facilitate sticky e-commerce,2201234,20
Wikizz,1/11/22,Won,Expanded 24/7 secured line,exploit best-of-breed synergies,4550585,60
Avavee,1/3/23,Upside,Polarised fresh-thinking synergy,grow bleeding-edge action-items,2428281,40
Wordpedia,11/6/22,Discovery,Team-oriented secondary capacity,drive revolutionary action-items,2393450,80
Kanoodle,7/3/22,Discovery,Cross-platform next generation utilisation,matrix seamless web-readiness,7898458,100
Quire,4/9/22,Discovery,Total grid-enabled conglomeration,reinvent interactive e-business,7921108,20
Lazzy,10/26/22,Won,Triple-buffered 5th generation function,matrix robust solutions,2669687,40
Skiptube,1/28/23,Lost,Focused system-worthy contingency,monetize leading-edge methodologies,6013946,80
Skimia,1/24/22,Discovery,Networked hybrid Graphic Interface,syndicate customized technologies,5974604,60
Geba,8/6/22,Commit,Integrated explicit function,innovate interactive schemas,9550548,40
Trunyx,4/8/22,Won,Decentralized radical neural-net,harness back-end content,7294506,60
Dabvine,2/25/23,Open,Progressive bifurcated concept,embrace world-class e-tailers,6147409,100
Snaptags,11/3/22,Won,Synergistic global algorithm,empower granular convergence,998229,20
Mynte,6/21/22,Lost,Re-contextualized regional success,incubate rich vortals,6836859,60
Wikizz,2/6/23,Won,Team-oriented human-resource array,utilize visionary deliverables,7843277,80
Izio,1/3/22,Open,Expanded responsive Graphical User Interface,transition interactive convergence,5801658,40
Rhyzio,7/29/22,Commit,Horizontal discrete definition,scale ubiquitous interfaces,1890644,80
Thoughtsphere,10/18/22,Open,Multi-lateral well-modulated methodology,productize collaborative convergence,7447854,60
Topicware,4/24/22,Commit,Re-engineered context-sensitive benchmark,innovate dynamic partnerships,1702817,100
Wordware,1/15/23,Upside,Team-oriented multimedia protocol,integrate mission-critical communities,476944,40
Innojam,4/5/22,Won,Organized even-keeled approach,reintermediate plug-and-play metrics,4899884,40
Skilith,10/17/22,Open,Switchable 5th generation database,e-enable compelling interfaces,1624351,20
Babbleopia,10/10/22,Open,Self-enabling heuristic emulation,innovate extensible architectures,9439391,60
Thoughtstorm,2/12/23,Lost,Focused heuristic application,repurpose innovative partnerships,8641961,40
Kayveo,5/29/22,Lost,Polarised radical hierarchy,optimize plug-and-play markets,1340347,40
